epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.712104,0.567303,0.670269,0.138098,0.000034,1.456548,1.357373,0.767740,0.091497,1.356996,0.791911
1,0.581975,0.507476,0.859071,0.065908,0.000066,1.363512,1.301717,0.858134,0.053214,1.303312,0.771144
2,0.544996,0.488239,0.881121,0.047945,0.000087,1.345776,1.291276,0.846473,0.046035,1.291979,0.765141
3,0.532021,0.478811,0.861596,0.044593,0.000089,1.343940,1.290681,0.814527,0.045113,1.289944,0.764058
4,0.523621,0.471610,0.834010,0.043670,0.000087,1.338551,1.286268,0.788345,0.044399,1.286611,0.763593
5,0.517540,0.465951,0.806462,0.043524,0.000087,1.338928,1.287349,0.758574,0.043993,1.287162,0.763908
6,0.511827,0.460300,0.781400,0.043712,0.000102,1.338831,1.287409,0.736109,0.044061,1.286783,0.764391
7,0.506842,0.455387,0.759617,0.043858,0.000093,1.342027,1.290397,0.716702,0.044463,1.289198,0.765550
8,0.502252,0.450779,0.748814,0.043983,0.000096,1.340053,1.288419,0.712402,0.044510,1.288797,0.765515
9,0.501756,0.450277,0.746705,0.044011,0.000100,1.342309,1.291204,0.715265,0.043952,1.290141,0.765979
10,0.501272,0.449733,0.744350,0.044095,0.000090,1.341274,1.290251,0.710922,0.043914,1.290201,0.765940
11,0.500243,0.448650,0.743046,0.044162,0.000093,1.340836,1.289979,0.712024,0.043737,1.290296,0.765975
