loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288094, 0.290269, 0.340817, 33.88 M Ops, 4.05 M Ops, 1.66 M Ops, 0.2854 M, 0.3904 %, 11.27 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293154, 0.295407, 0.344418, 33.88 M Ops, 3.50 M Ops, 3.78 M Ops, 0.2854 M, 0.3945 %, 20.54 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.286288, 0.288390, 0.339545, 33.88 M Ops, 4.06 M Ops, 1.66 M Ops, 0.2854 M, 0.3916 %, 11.29 uJ
