epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.324155,0.324155,0.486247,16.647411,0.193275,0.017738,1.000000,0.000000,0.490125,0.902863,0.003566,4.000000,0.066735,4.000000,0.000361,4.000000,0.004668,4.000000,0.182722,4.000000,1.060308,4.000000,0.057498,4.000000,0.900397,1.929108,0.999999,0.250000,32.000000,0.289361,0.289361,0.460957
1,0.261297,0.261297,0.430196,18.776800,0.192078,0.017205,1.000000,0.000000,0.501640,0.929364,0.004164,4.000000,0.024490,4.000000,0.000339,4.000000,0.005100,4.000000,0.065933,4.000000,0.466353,4.000000,0.062283,4.000000,0.532294,1.288758,0.999999,0.031250,32.000000,0.258151,0.258151,0.426354
2,0.245187,0.245187,0.410159,20.509045,0.197362,0.016988,1.000000,0.000000,0.496770,0.887841,0.007295,4.000000,0.010681,4.000000,0.000225,4.000000,0.008531,4.000000,0.015702,4.000000,1.009580,4.000000,0.059490,4.000000,0.642086,1.276812,0.999999,0.156250,32.000000,0.248639,0.248639,0.412383
3,0.239138,0.239138,0.400990,21.913584,0.197876,0.017447,1.000000,0.000000,0.479015,0.828707,0.006627,4.000000,0.013383,4.000000,0.000974,4.000000,0.005096,4.000000,0.014663,4.000000,0.584713,4.000000,0.056944,4.000000,0.582390,1.234120,0.999999,0.031250,32.000000,0.242446,0.242446,0.402991
4,0.235205,0.235205,0.396269,24.463575,0.193418,0.018475,1.000000,0.000000,0.438033,0.776397,0.006866,4.000000,0.008593,4.000000,0.002230,4.000000,0.006557,4.000000,0.010839,4.000000,0.828975,4.000000,0.054819,4.000000,0.642826,1.331340,0.999999,0.156250,32.000000,0.238184,0.238184,0.398871
5,0.231796,0.231796,0.392639,27.033173,0.181455,0.019700,1.000000,0.000000,0.390998,0.735036,0.004105,4.000000,0.009789,4.000000,0.002801,4.000000,0.003472,4.000000,0.007360,4.000000,0.809169,4.000000,0.056947,4.000000,0.652491,1.942423,1.000000,0.187500,32.000000,0.236797,0.236797,0.397618
6,0.229650,0.229650,0.389543,27.573795,0.177601,0.020887,1.000000,0.000000,0.367460,0.712930,0.002556,4.000000,0.006663,4.000000,0.003927,4.000000,0.002764,4.000000,0.008005,4.000000,0.487112,4.000000,0.056900,4.000000,0.769280,1.628799,0.999999,0.312500,32.000000,0.234618,0.234618,0.395036
7,0.227513,0.227513,0.387472,29.351000,0.172212,0.022009,1.000000,0.000000,0.348884,0.702383,0.004515,4.000000,0.009660,4.000000,0.004720,4.000000,0.004700,4.000000,0.010790,4.000000,0.877806,4.000000,0.055750,4.000000,0.722188,1.462044,0.999999,0.218750,32.000000,0.232902,0.232902,0.392498
8,0.226330,0.226330,0.386673,26.885208,0.167608,0.023114,1.000000,0.000000,0.336849,0.694820,0.003964,4.000000,0.009553,4.000000,0.004271,4.000000,0.004799,4.000000,0.015074,4.000000,0.322307,4.000000,0.055426,4.000000,0.706380,1.954838,1.000000,0.156250,32.000000,0.231251,0.231251,0.389681
9,0.224556,0.224556,0.384499,29.602613,0.169457,0.024223,1.000000,0.000000,0.327247,0.689874,0.003084,4.000000,0.008344,4.000000,0.005410,4.000000,0.003427,4.000000,0.008387,4.000000,0.365038,4.000000,0.054830,4.000000,0.693371,1.608558,0.999999,0.218750,32.000000,0.230373,0.230373,0.389186
10,0.223343,0.223343,0.382861,30.262388,0.167844,0.025323,1.000000,0.000000,0.321040,0.686094,0.002969,4.000000,0.011682,4.000000,0.004659,4.000000,0.002321,4.000000,0.010762,4.000000,0.936161,4.000000,0.055104,4.000000,0.540336,1.163214,0.999999,0.031250,32.000000,0.230557,0.230557,0.390008
11,0.223315,0.223315,0.383170,28.678766,0.163284,0.026435,1.000000,0.000000,0.317931,0.679553,0.003603,4.000000,0.018876,4.000000,0.005001,4.000000,0.002317,4.000000,0.020537,4.000000,1.140013,4.000000,0.054667,4.000000,0.731641,1.953976,0.999999,0.218750,32.000000,0.227308,0.227308,0.386802
