loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407216, 0.405347, 0.434533, 110.43 M Ops, 14.47 M Ops, 5.18 M Ops, 0.6642 M, 0.4057 %, 36.86 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407532, 0.405673, 0.434668, 110.43 M Ops, 14.47 M Ops, 5.18 M Ops, 0.6642 M, 0.4067 %, 36.86 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407048, 0.405254, 0.435503, 111.21 M Ops, 14.44 M Ops, 5.55 M Ops, 0.6642 M, 0.4893 %, 38.54 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406721, 0.404858, 0.433905, 110.43 M Ops, 14.44 M Ops, 5.93 M Ops, 0.6650 M, 0.4560 %, 40.27 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.405866, 0.403920, 0.434140, 110.43 M Ops, 14.37 M Ops, 5.93 M Ops, 0.6650 M, 0.4601 %, 40.20 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406259, 0.404404, 0.433404, 110.43 M Ops, 14.39 M Ops, 5.93 M Ops, 0.6650 M, 0.4570 %, 40.22 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406551, 0.404702, 0.434764, 110.43 M Ops, 14.27 M Ops, 5.93 M Ops, 0.6662 M, 0.4593 %, 40.11 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406882, 0.405040, 0.433702, 110.35 M Ops, 13.67 M Ops, 5.93 M Ops, 0.6650 M, 0.4490 %, 39.58 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406711, 0.404852, 0.433534, 110.35 M Ops, 13.66 M Ops, 5.93 M Ops, 0.6650 M, 0.4495 %, 39.57 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407145, 0.405234, 0.434147, 110.35 M Ops, 13.79 M Ops, 5.18 M Ops, 0.6650 M, 0.3980 %, 36.26 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407996, 0.406016, 0.435058, 110.35 M Ops, 13.76 M Ops, 5.18 M Ops, 0.6650 M, 0.3982 %, 36.23 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.407227, 0.405317, 0.434251, 110.35 M Ops, 13.79 M Ops, 5.18 M Ops, 0.6650 M, 0.3981 %, 36.26 uJ
