epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.644278,0.644278,0.582024,1.272811,1.272811,0.796609
1,0.548817,0.548817,0.533536,1.219907,1.219907,0.774735
2,0.526995,0.526995,0.522808,1.211856,1.211856,0.776391
3,0.511700,0.511700,0.516102,1.207436,1.207436,0.772861
4,0.503410,0.503410,0.513249,1.223400,1.223400,0.780677
5,0.496783,0.496783,0.511484,1.236600,1.236600,0.791396
6,0.490443,0.490443,0.509847,1.250102,1.250102,0.793413
7,0.484074,0.484074,0.506703,1.267823,1.267823,0.803399
8,0.480795,0.480795,0.505302,1.269615,1.269615,0.804457
9,0.477802,0.477802,0.503693,1.287195,1.287195,0.808489
