epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.656719,0.656719,0.589555,1.335777,1.335777,0.818675
1,0.569805,0.569805,0.544846,1.301060,1.301060,0.809216
2,0.555897,0.555897,0.537450,1.290646,1.290646,0.806001
3,0.546130,0.546130,0.532383,1.285661,1.285661,0.803982
4,0.537381,0.537381,0.527633,1.281672,1.281672,0.803843
5,0.532081,0.532081,0.525418,1.282247,1.282247,0.802794
6,0.529809,0.529809,0.525108,1.275603,1.275603,0.799079
7,0.526824,0.526824,0.523292,1.288595,1.288595,0.805081
8,0.524041,0.524041,0.521664,1.292562,1.292562,0.806290
9,0.519812,0.519812,0.519426,1.280139,1.280139,0.800656
