loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418405, 0.410423, 0.430827, 0.737794, 165.38 M Ops, 16.08 M Ops, 4.70 M Ops, 0.5554 M, 0.4790 %, 36.10 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419566, 0.411419, 0.431398, 0.737158, 165.55 M Ops, 14.76 M Ops, 4.88 M Ops, 0.5565 M, 0.4773 %, 35.72 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421791, 0.413175, 0.432813, 0.736035, 166.80 M Ops, 14.83 M Ops, 6.01 M Ops, 0.5565 M, 0.4767 %, 41.00 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419538, 0.411875, 0.431733, 0.736866, 166.63 M Ops, 16.40 M Ops, 5.84 M Ops, 0.5565 M, 0.4483 %, 41.61 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418206, 0.410082, 0.430342, 0.738011, 166.81 M Ops, 15.74 M Ops, 6.01 M Ops, 0.5565 M, 0.4869 %, 41.82 uJ
