loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.435743, 0.780488, 0.686166, 0.700380, 0.729404, 0.686166, 13321.86 M Ops, 435.81 M Ops, 2323.36 M Ops, 17.0255 M, 0.3650 %, 11079.71 uJ, 0.898649, 0.473684
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.444725, 0.785366, 0.684151, 0.700770, 0.739960, 0.684151, 9693.27 M Ops, 318.92 M Ops, 2320.32 M Ops, 12.3576 M, 0.3928 %, 10960.50 uJ, 0.912162, 0.456140
