epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.753404,0.753404,0.578309,0.700252,0.700252,0.595197
1,0.674814,0.674814,0.525617,0.718227,0.718227,0.599552
2,0.656170,0.656170,0.515218,0.710308,0.710308,0.591530
3,0.647514,0.647514,0.513136,0.715910,0.715910,0.594828
4,0.635076,0.635076,0.508425,0.698604,0.698604,0.584111
5,0.632553,0.632553,0.508108,0.726143,0.726143,0.594498
6,0.630566,0.630566,0.506701,0.722118,0.722118,0.593247
7,0.626746,0.626746,0.503426,0.757212,0.757212,0.602681
8,0.621226,0.621226,0.503094,0.767152,0.767152,0.604331
9,0.617158,0.617158,0.500419,0.773525,0.773525,0.606710
10,0.614321,0.614321,0.501347,0.767070,0.767070,0.605808
