epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.671283,0.671283,0.597489,1.350000,1.350000,0.825917
1,0.557600,0.557600,0.538696,1.250194,1.250194,0.786074
2,0.531803,0.531803,0.526570,1.227505,1.227505,0.776608
3,0.516398,0.516398,0.519054,1.213055,1.213055,0.770747
4,0.507007,0.507007,0.515796,1.212088,1.212088,0.770497
5,0.500002,0.500002,0.513553,1.200108,1.200108,0.767638
6,0.493940,0.493940,0.510937,1.191537,1.191537,0.763601
7,0.491238,0.491238,0.510170,1.205977,1.205977,0.774883
8,0.488101,0.488101,0.508706,1.196630,1.196630,0.768165
9,0.481017,0.481017,0.504426,1.198842,1.198842,0.769154
