loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.294490, 0.295244, 0.349591, 102.64 M Ops, 11.74 M Ops, 5.86 M Ops, 0.1785 M, 0.3672 %, 37.54 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.296817, 0.296869, 0.350059, 102.64 M Ops, 11.66 M Ops, 5.86 M Ops, 0.1785 M, 0.3680 %, 37.47 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.296721, 0.296728, 0.349062, 50.96 M Ops, 6.53 M Ops, 5.33 M Ops, 0.1350 M, 0.3679 %, 30.38 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292957, 0.294193, 0.347200, 50.96 M Ops, 6.58 M Ops, 5.33 M Ops, 0.1350 M, 0.3683 %, 30.43 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.300067, 0.300956, 0.352760, 62.89 M Ops, 7.55 M Ops, 5.26 M Ops, 0.1450 M, 0.3735 %, 30.98 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293346, 0.294037, 0.347630, 28.17 M Ops, 3.30 M Ops, 4.73 M Ops, 0.1159 M, 0.3751 %, 24.72 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290268, 0.291142, 0.347305, 28.17 M Ops, 3.61 M Ops, 4.73 M Ops, 0.1159 M, 0.3717 %, 25.03 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.285483, 0.286511, 0.344957, 63.96 M Ops, 7.57 M Ops, 5.48 M Ops, 0.1450 M, 0.4740 %, 32.03 uJ
