loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.477372, 0.462939, 0.452159, 0.575744, 143.06 M Ops, 17.25 M Ops, 3.89 M Ops, 0.5536 M, 0.4430 %, 33.44 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.486556, 0.473378, 0.457550, 0.566178, 135.12 M Ops, 16.64 M Ops, 3.66 M Ops, 0.5515 M, 0.4463 %, 31.80 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.487439, 0.470276, 0.456686, 0.569021, 136.89 M Ops, 15.53 M Ops, 3.66 M Ops, 0.5519 M, 0.4520 %, 30.80 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.483404, 0.469196, 0.455980, 0.570010, 145.31 M Ops, 18.37 M Ops, 4.37 M Ops, 0.5541 M, 0.4689 %, 36.63 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.489986, 0.474651, 0.457321, 0.565012, 139.20 M Ops, 18.46 M Ops, 4.01 M Ops, 0.5525 M, 0.4772 %, 35.08 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.489873, 0.476550, 0.458656, 0.563270, 134.76 M Ops, 16.51 M Ops, 3.42 M Ops, 0.5514 M, 0.4529 %, 30.59 uJ
