data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,-0.002715364206536508,-0.00444809875899721
ETTh1,False,7,sparse-off,-0.007119217180999393,-0.008766779630165256
ETTh1,False,7,sparse-dense,-0.004403852974462885,-0.004318680871168046
ETTh1,False,13,dense-off,0.004542204840693953,0.0033465305155047087
ETTh1,False,13,sparse-off,0.0046585507318694375,0.0034870398431656735
ETTh1,False,13,sparse-dense,0.00011634589117548444,0.0001405093276609648
ETTh1,False,21,dense-off,0.0037350940708233415,0.0032197638948643914
ETTh1,False,21,sparse-off,0.0029665878818826985,0.0014585383280981135
ETTh1,False,21,sparse-dense,-0.000768506188940643,-0.001761225566766278
ETTh1,True,7,dense-off,0.0027172822074457703,0.0023127849614564266
ETTh1,True,7,sparse-off,0.0021422881999780263,0.001573184050191967
ETTh1,True,7,sparse-dense,-0.000574994007467744,-0.0007396009112644597
ETTh1,True,13,dense-off,0.0012637727970547519,0.0019142434566222222
ETTh1,True,13,sparse-off,0.0026183750021316343,0.001564378362169494
ETTh1,True,13,sparse-dense,0.0013546022050768824,-0.0003498650944527282
ETTh1,True,21,dense-off,0.003276309591230653,0.002128913254970166
ETTh1,True,21,sparse-off,0.003369311260769392,0.001957105261670755
ETTh1,True,21,sparse-dense,9.300166953873923e-05,-0.000171807993299411
ETTh2,False,7,dense-off,0.002588422353912656,0.001215515535636369
ETTh2,False,7,sparse-off,0.002076735710427824,0.001152286887232068
ETTh2,False,7,sparse-dense,-0.0005116866434848322,-6.322864840430098e-05
ETTh2,False,13,dense-off,0.0015265822022467734,0.0015155466047204746
ETTh2,False,13,sparse-off,-0.021473624650359624,-0.016600668556019382
ETTh2,False,13,sparse-dense,-0.023000206852606397,-0.018116215160739857
ETTh2,False,21,dense-off,-0.00500633950100926,-0.004314835727490696
ETTh2,False,21,sparse-off,-0.0038626866801295123,-0.004715399399988163
ETTh2,False,21,sparse-dense,0.001143652820879748,-0.00040056367249746705
ETTh2,True,7,dense-off,-0.00618997728084919,-0.005629863684934622
ETTh2,True,7,sparse-off,0.0064005740942976175,0.002600519858553807
ETTh2,True,7,sparse-dense,0.012590551375146808,0.008230383543488429
ETTh2,True,13,dense-off,-0.010850190277142013,-0.007362149393976003
ETTh2,True,13,sparse-off,-0.009766749401332486,-0.0074303253563428595
ETTh2,True,13,sparse-dense,0.001083440875809527,-6.817596236685652e-05
ETTh2,True,21,dense-off,0.004646248428730515,0.00296585344197825
ETTh2,True,21,sparse-off,0.012510863030595176,0.01009059059898576
ETTh2,True,21,sparse-dense,0.007864614601864661,0.00712473715700751
