heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,-6.347092631192597e-05,-0.0016162916116804205
False,7,sparse-dense,-0.0024577698089738587,-0.0021909547597861734
False,7,sparse-off,-0.0025212407352857846,-0.003807246371466594
False,13,dense-off,0.0030343935214703632,0.0024310385601125917
False,13,sparse-dense,-0.011441930480715456,-0.008987852916539446
False,13,sparse-off,-0.008407536959245093,-0.006556814356426854
False,21,dense-off,-0.0006356227150929594,-0.0005475359163131521
False,21,sparse-dense,0.0001875733159695525,-0.0010808946196318725
False,21,sparse-off,-0.0004480493991234069,-0.0016284305359450246
True,7,dense-off,-0.00173634753670171,-0.0016585393617390976
True,7,sparse-dense,0.006007778683839532,0.0037453913161119845
True,7,sparse-off,0.004271431147137822,0.002086851954372887
True,13,dense-off,-0.004793208740043631,-0.0027239529686768904
True,13,sparse-dense,0.0012190215404432048,-0.00020902052840979235
True,13,sparse-off,-0.003574187199600426,-0.0029329734970866828
True,21,dense-off,0.003961279009980584,0.002547383348474208
True,21,sparse-dense,0.0039788081357017,0.0034764645818540496
True,21,sparse-off,0.007940087145682284,0.006023847930328258
