epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_singleton_frac,val_loss,val_mse,val_mae
0,0.326341,0.326341,0.482267,16.897795,0.164728,0.000000,1.000000,0.000000,0.424132,0.983844,0.000000,0.000000,0.000000,0.000000,0.000000,0.645031,0.036672,0.277759,0.277759,0.443507
1,0.253972,0.253972,0.417874,19.020058,0.163313,0.000000,1.000000,0.000000,0.426569,0.981223,0.000000,0.000000,0.000000,0.000000,0.000000,0.260700,0.037642,0.248546,0.248546,0.408732
2,0.242148,0.242148,0.401399,19.424450,0.163940,0.000000,1.000000,0.000000,0.428677,1.003877,0.000000,0.000000,0.000000,0.000000,0.000000,0.862320,0.038461,0.242921,0.242921,0.401740
3,0.236741,0.236741,0.395903,19.227747,0.157029,0.000000,1.000000,0.000000,0.432508,0.991560,0.000000,0.000000,0.000000,0.000000,0.000000,0.330463,0.038315,0.239678,0.239678,0.399631
4,0.233986,0.233986,0.393367,20.782700,0.149559,0.000000,1.000000,0.000000,0.434371,0.992510,0.000000,0.000000,0.000000,0.000000,0.000000,0.473127,0.038565,0.236944,0.236944,0.395990
5,0.232014,0.232014,0.391326,21.942152,0.146694,0.000000,1.000000,0.000000,0.432788,1.001455,0.000000,0.000000,0.000000,0.000000,0.000000,0.397773,0.038604,0.236657,0.236657,0.394134
6,0.230730,0.230730,0.390062,19.445814,0.145394,0.000000,1.000000,0.000000,0.434751,1.019700,0.000000,0.000000,0.000000,0.000000,0.000000,0.232338,0.039247,0.235156,0.235156,0.393664
7,0.229160,0.229160,0.388270,22.419226,0.148182,0.000000,1.000000,0.000000,0.436812,1.009219,0.000000,0.000000,0.000000,0.000000,0.000000,0.384424,0.038640,0.234134,0.234134,0.392540
8,0.227890,0.227890,0.386965,19.499664,0.143854,0.000000,1.000000,0.000000,0.437034,1.005868,0.000000,0.000000,0.000000,0.000000,0.000000,0.272109,0.039182,0.233398,0.233398,0.392321
9,0.226649,0.226649,0.386343,23.024729,0.140831,0.000000,1.000000,0.000000,0.436286,1.039892,0.000000,0.000000,0.000000,0.000000,0.000000,0.171777,0.040048,0.231602,0.231602,0.390637
10,0.226005,0.226005,0.385724,22.961014,0.138218,0.000000,1.000000,0.000000,0.440739,1.014498,0.000000,0.000000,0.000000,0.000000,0.000000,0.244203,0.039137,0.231627,0.231627,0.389837
11,0.225867,0.225867,0.384873,23.382130,0.137515,0.000000,1.000000,0.000000,0.442459,1.000986,0.000000,0.000000,0.000000,0.000000,0.000000,0.242314,0.039241,0.231128,0.231128,0.389618
