epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.535612,0.535612,0.526918,0.869351,0.869351,0.650878
1,0.399848,0.399848,0.451783,0.783859,0.783859,0.617931
2,0.377565,0.377565,0.438810,0.752059,0.752059,0.602567
3,0.366913,0.366913,0.432799,0.752188,0.752188,0.602270
4,0.358013,0.358013,0.427977,0.746686,0.746686,0.599185
5,0.352046,0.352046,0.424472,0.749019,0.749019,0.600106
6,0.348105,0.348105,0.422466,0.750571,0.750571,0.597906
7,0.344955,0.344955,0.420757,0.745697,0.745697,0.594927
8,0.343852,0.343852,0.420508,0.758764,0.758764,0.601952
9,0.340531,0.340531,0.418369,0.759853,0.759853,0.602253
10,0.339023,0.339023,0.418042,0.760597,0.760597,0.601888
11,0.336324,0.336324,0.415742,0.773983,0.773983,0.606114
12,0.335126,0.335126,0.415082,0.773246,0.773246,0.606516
13,0.334923,0.334923,0.414715,0.772308,0.772308,0.605440
