epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.751479,0.751479,0.570946,0.676201,0.676201,0.578296
1,0.676289,0.676289,0.526993,0.676175,0.676175,0.576890
2,0.656552,0.656552,0.517275,0.669321,0.669321,0.575318
3,0.644347,0.644347,0.513975,0.665628,0.665628,0.574422
4,0.634560,0.634560,0.511243,0.682828,0.682828,0.579363
5,0.627403,0.627403,0.507725,0.702197,0.702197,0.588670
6,0.622241,0.622241,0.506847,0.725245,0.725245,0.599480
7,0.616260,0.616260,0.502743,0.723828,0.723828,0.597316
8,0.614367,0.614367,0.500960,0.698089,0.698089,0.586787
9,0.610732,0.610732,0.501275,0.704139,0.704139,0.589838
