epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.053701,0.053701,0.037123,0.037123,0.000000,0.000000
1,0.023916,0.023916,0.017524,0.017524,0.000000,0.000000
2,0.013152,0.013152,0.010841,0.010841,0.000000,0.000000
3,0.009351,0.009351,0.008488,0.008488,0.000000,0.000000
4,0.007634,0.007634,0.007248,0.007248,0.000000,0.000000
5,0.006601,0.006601,0.006478,0.006478,0.000000,0.000000
6,0.005921,0.005921,0.005976,0.005976,0.000000,0.000000
7,0.005456,0.005456,0.005626,0.005626,0.000000,0.000000
8,0.005103,0.005103,0.005407,0.005407,0.000000,0.000000
9,0.004873,0.004873,0.005251,0.005251,0.000000,0.000000
10,0.004686,0.004686,0.005079,0.005079,0.000000,0.000000
11,0.004561,0.004561,0.005026,0.005026,0.000000,0.000000
12,0.004460,0.004460,0.004959,0.004959,0.000000,0.000000
13,0.004377,0.004377,0.004880,0.004880,0.000000,0.000000
14,0.004306,0.004306,0.004794,0.004794,0.000000,0.000000
15,0.004249,0.004249,0.004737,0.004737,0.000000,0.000000
16,0.004227,0.004227,0.004747,0.004747,0.000000,0.000000
17,0.004176,0.004176,0.004683,0.004683,0.000000,0.000000
18,0.004148,0.004148,0.004704,0.004704,0.000000,0.000000
19,0.004122,0.004122,0.004643,0.004643,0.000000,0.000000
20,0.004099,0.004099,0.004650,0.004650,0.000000,0.000000
21,0.004081,0.004081,0.004587,0.004587,0.000000,0.000000
22,0.004061,0.004061,0.004557,0.004557,0.000000,0.000000
23,0.004046,0.004046,0.004581,0.004581,0.000000,0.000000
24,0.004037,0.004037,0.004589,0.004589,0.000000,0.000000
25,0.004025,0.004025,0.004528,0.004528,0.000000,0.000000
26,0.004017,0.004017,0.004598,0.004598,0.000000,0.000000
27,0.004004,0.004004,0.004634,0.004634,0.000000,0.000000
28,0.004004,0.004004,0.004522,0.004522,0.000000,0.000000
29,0.003985,0.003985,0.004504,0.004504,0.000000,0.000000
30,0.003983,0.003983,0.004513,0.004513,0.000000,0.000000
31,0.003967,0.003967,0.004513,0.004513,0.000000,0.000000
32,0.003963,0.003963,0.004463,0.004463,0.000000,0.000000
33,0.003965,0.003965,0.004490,0.004490,0.000000,0.000000
34,0.003953,0.003953,0.004456,0.004456,0.000000,0.000000
35,0.003945,0.003945,0.004549,0.004549,0.000000,0.000000
36,0.003945,0.003945,0.004503,0.004503,0.000000,0.000000
37,0.003949,0.003949,0.004467,0.004467,0.000000,0.000000
