epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.221374,0.158804,0.062570,0.111651,tensor(0.0003),0.065070
1,0.152251,0.088014,0.064237,0.110629,tensor(0.0003),0.070208
2,0.154600,0.086615,0.067985,0.103930,tensor(0.0001),0.068074
3,0.154403,0.083104,0.071299,0.107360,tensor(0.0002),0.070400
4,0.159021,0.084962,0.074059,0.110673,tensor(0.0002),0.075061
5,0.160994,0.084484,0.076510,0.109402,tensor(0.0001),0.076514
6,0.158967,0.080111,0.078856,0.114478,tensor(0.0001),0.080112
7,0.162238,0.081946,0.080292,0.115436,tensor(0.0001),0.081426
8,0.163428,0.081127,0.082300,0.111544,tensor(0.0001),0.078810
9,0.158567,0.075843,0.082724,0.109152,tensor(0.0001),0.079661
10,0.162379,0.079313,0.083065,0.110605,tensor(0.0002),0.081838
11,0.166303,0.082996,0.083306,0.117255,tensor(0.0002),0.088753
12,0.161164,0.077408,0.083755,0.111197,tensor(0.0002),0.082434
13,0.163177,0.079101,0.084075,0.114459,tensor(0.0001),0.085812
14,0.158823,0.075052,0.083771,0.111505,tensor(0.0001),0.082690
15,0.160974,0.077110,0.083864,0.110139,tensor(0.0001),0.081140
16,0.158660,0.074819,0.083841,0.107365,tensor(0.0001),0.079178
17,0.158536,0.074569,0.083967,0.108092,tensor(8.6685e-05),0.079739
18,0.160085,0.076175,0.083910,0.106881,tensor(0.0001),0.078569
19,0.161930,0.077969,0.083961,0.113156,tensor(0.0001),0.084724
