epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,3.549648,3.252694,1.540917,0.142863,3.588334,3.260489,1.687331,0.159112,"tensor(0.0365, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0294, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(0.0062, device='cuda:0')"
1,3.480410,3.225871,1.163250,0.138214,3.515009,3.256897,1.066408,0.151471,"tensor(0.0353, device='cuda:0')","tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 1., 0., 0., 0.], device='cuda:0')","tensor(0.0026, device='cuda:0')","tensor(0.0014, device='cuda:0')"
2,3.363009,3.168073,0.681640,0.126772,3.467789,3.265038,0.753128,0.127438,"tensor(0.0729, device='cuda:0')","tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        1., 0., 0., 0., 1., 0., 0., 0.], device='cuda:0')","tensor(0.0127, device='cuda:0')","tensor(0.0070, device='cuda:0')"
3,3.274310,3.107959,0.512481,0.115102,3.455464,3.277732,0.580356,0.119696,"tensor(0.0494, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0121, device='cuda:0')","tensor(0.0087, device='cuda:0')"
4,3.178543,3.039926,0.392527,0.099365,3.484300,3.301127,0.564860,0.126687,"tensor(0.0518, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.4000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0145, device='cuda:0')","tensor(0.0108, device='cuda:0')"
5,3.077161,2.951446,0.353581,0.090357,3.517226,3.332107,0.604352,0.124684,"tensor(0.0412, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.1000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0076, device='cuda:0')","tensor(0.0076, device='cuda:0')"
6,2.946412,2.829681,0.330232,0.083709,3.521793,3.324505,0.692503,0.128038,"tensor(0.0447, device='cuda:0')","tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.2000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0099, device='cuda:0')","tensor(0.0079, device='cuda:0')"
7,2.778249,2.666857,0.314804,0.079911,3.431836,3.241855,0.775228,0.112458,"tensor(0.0847, device='cuda:0')","tensor([0.4167, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0303, 0.0000,
        0.0000, 0.0000, 0.0882, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        1.0000, 0.0000, 0.0000, 0.0000, 0.7000, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0305, device='cuda:0')","tensor(0.0422, device='cuda:0')"
8,2.573030,2.464378,0.307878,0.077864,3.390013,3.202789,0.795185,0.107706,"tensor(0.1247, device='cuda:0')","tensor([0.6389, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0345, 0.1515, 0.0000,
        0.0000, 0.0000, 0.0882, 0.4516, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.9688, 0.0000, 0.0000, 0.0000, 0.9667, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0504, device='cuda:0')","tensor(0.0671, device='cuda:0')"
9,2.335891,2.226304,0.313064,0.078280,3.601193,3.378355,1.042000,0.118638,"tensor(0.0906, device='cuda:0')","tensor([0.8056, 0.0000, 0.0000, 0.0541, 0.0000, 0.0000, 0.0000, 0.0303, 0.0000,
        0.0000, 0.0000, 0.0588, 0.1935, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.9688, 0.1379, 0.0000, 0.0000, 0.0667, 0.0000, 0.0000, 0.0000],
       device='cuda:0')","tensor(0.0361, device='cuda:0')","tensor(0.0877, device='cuda:0')"
