head,data,variant,off_minus_full_mse,uniform_minus_full_mse,recent_minus_full_mse,memory_gate,memory_entropy,membrane_diversity,evidence_ratio
flatten,ETTh1,heterogeneous_retrieval,0.0030289963394139474,0.0008630552126135579,0.0016024970020062461,0.5177945097287496,0.9046733578046163,0.13636861741542816,0.019845423599084217
flatten,ETTh1,homogeneous_retrieval,0.005977462855474088,0.0003348890256374415,0.0006063862778651341,0.5419328212738037,0.9295441706975301,0.0,0.020114146173000336
flatten,ETTh2,heterogeneous_retrieval,0.013446588326301467,0.0006720374952977984,0.00018768595708649563,0.48461756110191345,0.9477819601694742,0.2324675718943278,0.015934265218675137
flatten,ETTh2,homogeneous_retrieval,0.0027457886806247314,0.00022819967938854843,-0.00023806746174339274,0.4803117016951243,0.9725339810053507,0.0,0.01435132697224617
last,ETTh1,heterogeneous_retrieval,0.004608904726828622,0.0002780538932091181,-0.001580266100694283,0.5251320004463196,0.8640111684799194,0.2817787528038025,0.014120813459157944
last,ETTh1,homogeneous_retrieval,0.003500808054278215,-0.001479171042687577,-0.0011118597142719677,0.5149093270301819,0.9330733418464661,0.0,0.017542753368616104
last,ETTh2,heterogeneous_retrieval,0.012811166163186283,-0.003208011379363218,-0.005655133843556148,0.5397844910621643,0.8873234391212463,1.1976137161254883,0.013617071323096752
last,ETTh2,homogeneous_retrieval,0.007113069807463623,1.1771342705468868e-05,-0.0004326565182261044,0.5629403591156006,0.9828596115112305,0.0,0.014067730866372585
