head,variant,n,mse,mse_sd,mae,mae_sd
flatten,heterogeneous_no_memory,3,0.3856442394688509,0.021461071860668895,0.42379090983909634,0.01619749171337688
flatten,heterogeneous_retrieval,3,0.38266685763483815,0.018490464846141117,0.4209984428659868,0.014004533271782384
flatten,homogeneous_no_memory,3,0.40732362625928364,0.017954247129251807,0.43895830485446363,0.011965212116598765
flatten,homogeneous_retrieval,3,0.39796881571897486,0.005555828326447841,0.4327015092319228,0.0031106375475814492
last,heterogeneous_no_memory,1,0.6157411559006758,,0.5539490154122622,
last,heterogeneous_retrieval,1,0.6214385379484728,,0.5538064343271782,
last,homogeneous_no_memory,1,0.7060968970863482,,0.5978189791546831,
last,homogeneous_retrieval,1,0.68618779715459,,0.5869418503798304,
