head,data,heterogeneous,seed,delta_mse,delta_mae,relative_mse_pct
flatten,ETTh1,False,7,-0.007297108275770292,-0.005003507929829953,-1.6021925497058165
flatten,ETTh1,False,13,0.009810197526673836,0.005336285599780832,2.142058127440616
flatten,ETTh1,False,21,0.014802319310573575,0.00946816581092913,3.2950909763426184
flatten,ETTh1,True,7,0.0016174440927198552,-0.00040605258383885623,0.38391804190469614
flatten,ETTh1,True,13,0.003586121888935867,0.0018872182227790968,0.8291742589489282
flatten,ETTh1,True,21,0.00042626162638836895,0.00012419317120959672,0.10174119024111139
flatten,ETTh2,False,7,-0.014021479510250179,-0.008576729343535483,-4.01654042827444
flatten,ETTh2,False,13,-0.060568770487126,-0.04045114795258625,-15.274061148975338
flatten,ETTh2,False,21,0.00114597819404616,0.00168616007999689,0.34141734923087697
flatten,ETTh2,True,7,-0.0038864034047592644,-0.0029289870556990505,-1.1645142061741498
flatten,ETTh2,True,13,-0.01658924951641111,-0.01262928120130119,-4.281422897915443
flatten,ETTh2,True,21,-0.003018465690950156,-0.002801892391806393,-0.9435658336372388
last,ETTh1,False,7,-0.03905626502690418,-0.02057017751404988,-4.613365822160953
last,ETTh1,True,7,0.01514705994578125,0.0022126643795802314,2.0732803775206365
last,ETTh2,False,7,-0.0007619348366122436,-0.0011840800356553993,-0.1347116138179616
last,ETTh2,True,7,-0.0037522958501873815,-0.002497826549748061,-0.7491136728493442
