epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.599156,0.453707,0.667902,0.138770,0.000030,0.880344,0.774971,0.753653,0.097837,0.778251,0.597654
1,0.462210,0.382575,0.848378,0.071150,0.000057,0.776409,0.709437,0.842984,0.058542,0.715248,0.568849
2,0.426568,0.366290,0.878200,0.051495,0.000070,0.761269,0.700401,0.831090,0.052557,0.704897,0.562324
3,0.410308,0.354376,0.862713,0.047303,0.000090,0.747251,0.693357,0.827743,0.045617,0.695921,0.559651
4,0.404197,0.349255,0.837326,0.046567,0.000095,0.742416,0.688243,0.795585,0.046218,0.691680,0.557855
5,0.399286,0.344634,0.811656,0.046535,0.000095,0.746718,0.691164,0.764458,0.047910,0.692937,0.559027
6,0.393603,0.339294,0.790730,0.046401,0.000112,0.743564,0.690539,0.751888,0.045506,0.691074,0.558488
7,0.389946,0.335243,0.766458,0.047038,0.000104,0.740753,0.687034,0.730145,0.046418,0.690112,0.557664
8,0.387466,0.332763,0.749621,0.047207,0.000100,0.742008,0.688616,0.713215,0.046260,0.690374,0.558581
9,0.384580,0.329506,0.733667,0.047737,0.000089,0.743649,0.688371,0.685523,0.048423,0.692787,0.558837
10,0.380130,0.324918,0.717501,0.048036,0.000083,0.754827,0.699069,0.670909,0.049049,0.698831,0.562125
11,0.376781,0.321467,0.710885,0.048204,0.000095,0.744983,0.688633,0.668335,0.049666,0.693405,0.559114
12,0.376911,0.321700,0.709907,0.048111,0.000095,0.744963,0.688946,0.664105,0.049376,0.695383,0.559998
13,0.376061,0.320803,0.708985,0.048168,0.000093,0.758002,0.702764,0.670670,0.048531,0.695710,0.560528
14,0.375835,0.320525,0.707317,0.048236,0.000100,0.748759,0.693962,0.670586,0.048091,0.697281,0.560756
