loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.360491, 0.359986, 0.382273, 350.12 M Ops, 47.66 M Ops, 10.35 M Ops, 1.0141 M, 0.3879 %, 90.51 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.361068, 0.360581, 0.382577, 350.12 M Ops, 47.65 M Ops, 10.39 M Ops, 1.0141 M, 0.3907 %, 90.70 uJ
