epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.227931,0.219587,0.008344,0.022761,0.072664,0.067823,0.004841,0.021504
1,0.102443,0.097491,0.004952,0.019590,0.047232,0.042812,0.004420,0.018211
2,0.088876,0.084226,0.004650,0.017905,0.039842,0.035736,0.004106,0.017518
3,0.086055,0.081608,0.004447,0.017283,0.034787,0.030700,0.004087,0.017742
4,0.085987,0.081641,0.004346,0.017086,0.036390,0.032504,0.003886,0.016991
5,0.083427,0.079160,0.004267,0.016923,0.032766,0.028979,0.003788,0.017100
6,0.082001,0.077880,0.004120,0.016715,0.032678,0.028970,0.003708,0.016842
7,0.081283,0.077275,0.004008,0.016626,0.033708,0.030112,0.003597,0.016692
8,0.081677,0.077783,0.003894,0.016592,0.029625,0.026101,0.003523,0.017183
9,0.082127,0.078316,0.003811,0.016641,0.030765,0.027457,0.003309,0.016929
10,0.079701,0.075973,0.003729,0.016624,0.030503,0.027167,0.003335,0.016850
11,0.081690,0.078061,0.003630,0.016617,0.029873,0.026677,0.003196,0.017105
