loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.408121, 0.402506, 0.393434, 0.739948, 123.71 M Ops, 14.13 M Ops, 3.23 M Ops, 0.5644 M, 0.4324 %, 27.55 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.407059, 0.401563, 0.392790, 0.740557, 121.02 M Ops, 13.32 M Ops, 3.18 M Ops, 0.5477 M, 0.4331 %, 26.64 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.407961, 0.402718, 0.393216, 0.739810, 120.16 M Ops, 12.71 M Ops, 3.16 M Ops, 0.5425 M, 0.4382 %, 25.99 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.407761, 0.402025, 0.393144, 0.740258, 121.02 M Ops, 13.69 M Ops, 3.18 M Ops, 0.5477 M, 0.4336 %, 26.97 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.410163, 0.404097, 0.394463, 0.738920, 120.32 M Ops, 13.19 M Ops, 3.16 M Ops, 0.5435 M, 0.4395 %, 26.42 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.406899, 0.401220, 0.392852, 0.740778, 122.41 M Ops, 14.30 M Ops, 3.24 M Ops, 0.5477 M, 0.5519 %, 27.75 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.406542, 0.400970, 0.392475, 0.740939, 122.07 M Ops, 13.91 M Ops, 3.23 M Ops, 0.5477 M, 0.5177 %, 27.35 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.408465, 0.402586, 0.393286, 0.739896, 122.07 M Ops, 13.62 M Ops, 3.23 M Ops, 0.5477 M, 0.5114 %, 27.10 uJ
