loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.467282, 0.466510, 0.469375, 0.572472, 9.95 M Ops, 1.23 M Ops, 0.43 M Ops, 0.9621 M, 0.3598 %, 3.08 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.459418, 0.458447, 0.460619, 0.579860, 10.77 M Ops, 1.35 M Ops, 0.50 M Ops, 0.9632 M, 0.3843 %, 3.53 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.469512, 0.468606, 0.467552, 0.570551, 10.10 M Ops, 1.27 M Ops, 0.45 M Ops, 0.9620 M, 0.3866 %, 3.19 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.468368, 0.467496, 0.467249, 0.571569, 10.45 M Ops, 1.30 M Ops, 0.48 M Ops, 0.9626 M, 0.3814 %, 3.39 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.462032, 0.461058, 0.461460, 0.577468, 10.77 M Ops, 1.33 M Ops, 0.50 M Ops, 0.9632 M, 0.3834 %, 3.51 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.460881, 0.459940, 0.462204, 0.578493, 10.45 M Ops, 1.34 M Ops, 0.48 M Ops, 0.9632 M, 0.3593 %, 3.43 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.460577, 0.459619, 0.461572, 0.578786, 12.32 M Ops, 1.47 M Ops, 0.65 M Ops, 0.9632 M, 0.5279 %, 4.32 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.482736, 0.481933, 0.472815, 0.558337, 12.32 M Ops, 1.38 M Ops, 0.80 M Ops, 0.9771 M, 0.3960 %, 4.92 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.465492, 0.464707, 0.467054, 0.574123, 11.78 M Ops, 1.47 M Ops, 0.59 M Ops, 0.9648 M, 0.3845 %, 4.06 uJ
