epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.319443,0.319443,0.475848,19.480541,0.195205,0.017752,1.000000,0.000000,0.470253,0.897453,0.005344,4.000000,0.059973,4.000000,0.000584,4.000000,0.003547,4.000000,0.112793,4.000000,1.013292,4.000000,0.055444,4.000000,1.050340,2.659037,1.000000,0.437500,32.000000,0.279507,0.279507,0.443779
1,0.251755,0.251755,0.413250,26.336231,0.191584,0.017254,1.000000,0.000000,0.442049,0.878508,0.006758,4.000000,0.009133,4.000000,0.000636,4.000000,0.007521,4.000000,0.010167,4.000000,0.782435,4.000000,0.060913,4.000000,1.135311,12.782496,1.000000,0.156250,32.000000,0.252102,0.252102,0.410602
2,0.241382,0.241382,0.399737,28.753727,0.186643,0.016804,1.000000,0.000000,0.453657,0.890122,0.007161,4.000000,0.014446,4.000000,0.000430,4.000000,0.006045,4.000000,0.019510,4.000000,0.824232,4.000000,0.058695,4.000000,0.800113,1.568755,0.999999,0.250000,32.000000,0.246155,0.246155,0.404611
3,0.235571,0.235571,0.394844,32.562107,0.177720,0.016761,1.000000,0.000000,0.462938,0.884593,0.007117,4.000000,0.009007,4.000000,0.000523,4.000000,0.006970,4.000000,0.011929,4.000000,0.681348,4.000000,0.059332,4.000000,0.792570,1.485012,0.999999,0.250000,32.000000,0.240781,0.240781,0.399502
4,0.232504,0.232504,0.391865,36.789413,0.175991,0.017208,1.000000,0.000000,0.449201,0.844533,0.006035,4.000000,0.009939,4.000000,0.001024,4.000000,0.005719,4.000000,0.010024,4.000000,0.648671,4.000000,0.056775,4.000000,0.715546,2.414344,1.000000,0.125000,32.000000,0.238760,0.238760,0.398066
5,0.230698,0.230698,0.389922,38.212700,0.173683,0.018033,1.000000,0.000000,0.424231,0.804934,0.006641,4.000000,0.007182,4.000000,0.001706,4.000000,0.005771,4.000000,0.009717,4.000000,1.075619,4.000000,0.053470,4.000000,0.885216,1.698519,0.999999,0.375000,32.000000,0.236523,0.236523,0.396068
6,0.228298,0.228298,0.387828,41.705883,0.173241,0.019112,1.000000,0.000000,0.396580,0.756726,0.005408,4.000000,0.010553,4.000000,0.002996,4.000000,0.004329,4.000000,0.010076,4.000000,0.993537,4.000000,0.054446,4.000000,0.774777,1.673840,1.000000,0.250000,32.000000,0.234819,0.234819,0.392956
7,0.226815,0.226815,0.386012,40.936211,0.172863,0.020335,1.000000,0.000000,0.374283,0.716843,0.004475,4.000000,0.004644,4.000000,0.002897,4.000000,0.005513,4.000000,0.004264,4.000000,0.617567,4.000000,0.054515,4.000000,0.809631,1.596953,0.999999,0.218750,32.000000,0.233558,0.233558,0.391310
8,0.225813,0.225813,0.385073,41.730209,0.166829,0.021545,1.000000,0.000000,0.357592,0.712198,0.003094,4.000000,0.004783,4.000000,0.003121,4.000000,0.002686,4.000000,0.003543,4.000000,0.617092,4.000000,0.054958,4.000000,0.859072,2.280273,1.000000,0.281250,32.000000,0.231742,0.231742,0.390660
9,0.224640,0.224640,0.383653,42.194702,0.169620,0.022727,1.000000,0.000000,0.351567,0.702921,0.003643,4.000000,0.008701,4.000000,0.004285,4.000000,0.003871,4.000000,0.007290,4.000000,0.523107,4.000000,0.054205,4.000000,0.733537,1.689833,0.999999,0.187500,32.000000,0.230912,0.230912,0.389422
10,0.224055,0.224055,0.383428,41.388592,0.170058,0.023917,1.000000,0.000000,0.344778,0.704733,0.002635,4.000000,0.004805,4.000000,0.004522,4.000000,0.002428,4.000000,0.004624,4.000000,0.761964,4.000000,0.053985,4.000000,0.860611,1.808489,1.000000,0.375000,32.000000,0.229625,0.229625,0.388368
11,0.223596,0.223596,0.382141,43.020844,0.163487,0.025069,1.000000,0.000000,0.339036,0.701250,0.005472,4.000000,0.016311,4.000000,0.003649,4.000000,0.004216,4.000000,0.014249,4.000000,0.626722,4.000000,0.053961,4.000000,0.864035,2.701224,1.000000,0.312500,32.000000,0.229475,0.229475,0.388706
