epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.740267,0.740267,0.566065,0.686975,0.686975,0.585910
1,0.653486,0.653486,0.513273,0.683172,0.683172,0.582715
2,0.638803,0.638803,0.507570,0.713295,0.713295,0.596265
3,0.625205,0.625205,0.501646,0.729097,0.729097,0.598840
4,0.610747,0.610747,0.498707,0.741241,0.741241,0.598597
5,0.601462,0.601462,0.496989,0.751317,0.751317,0.598281
6,0.595075,0.595075,0.494376,0.755705,0.755705,0.601152
7,0.590442,0.590442,0.490613,0.783412,0.783412,0.608811
