epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_tot_acc,val_acc,val_f1,val_pre
60,0.727771,0.727554,0.021706,1.727482,1.727306,0.017637,0.239544,0.239394,0.228491,0.237052
61,0.697514,0.697297,0.021743,1.711678,1.711501,0.017697,0.247148,0.246737,0.242135,0.256313
62,0.689163,0.688942,0.022044,1.654788,1.654609,0.017876,0.285171,0.285023,0.284167,0.299888
63,0.672052,0.671833,0.021909,1.738070,1.737894,0.017673,0.243346,0.242716,0.222838,0.261844
64,0.664141,0.663923,0.021761,1.732698,1.732523,0.017504,0.258555,0.258100,0.250546,0.287350
65,0.658273,0.658054,0.021873,1.720475,1.720298,0.017640,0.285171,0.285140,0.287128,0.295094
66,0.635117,0.634898,0.021897,1.718727,1.718552,0.017541,0.258555,0.258275,0.258677,0.279871
67,0.628323,0.628102,0.022114,1.723255,1.723078,0.017703,0.277567,0.277681,0.275343,0.277994
68,0.617699,0.617478,0.022160,1.688653,1.688476,0.017765,0.266160,0.265676,0.253063,0.266846
69,0.611648,0.611426,0.022196,1.713216,1.713037,0.017913,0.266160,0.265734,0.257248,0.274380
70,0.598656,0.598432,0.022421,1.688214,1.688033,0.018045,0.273764,0.273368,0.265315,0.278325
71,0.590539,0.590316,0.022378,1.652085,1.651904,0.018079,0.269962,0.269639,0.267464,0.273925
72,0.585738,0.585515,0.022343,1.730313,1.730133,0.017981,0.254753,0.254487,0.241784,0.255831
73,0.575475,0.575251,0.022459,1.706550,1.706371,0.017940,0.254753,0.254487,0.250472,0.256939
