loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406578, 0.404747, 0.433793, 110.74 M Ops, 13.72 M Ops, 5.20 M Ops, 0.6684 M, 0.3912 %, 36.25 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406471, 0.404621, 0.433706, 110.74 M Ops, 13.74 M Ops, 5.20 M Ops, 0.6684 M, 0.3955 %, 36.26 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403184, 0.401621, 0.432163, 110.74 M Ops, 13.63 M Ops, 5.20 M Ops, 0.6684 M, 0.3955 %, 36.16 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403611, 0.402060, 0.432304, 111.04 M Ops, 13.60 M Ops, 5.49 M Ops, 0.6684 M, 0.4473 %, 37.47 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403195, 0.401623, 0.432191, 111.04 M Ops, 13.62 M Ops, 5.86 M Ops, 0.6684 M, 0.4772 %, 39.21 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406662, 0.404799, 0.433770, 111.04 M Ops, 13.74 M Ops, 5.86 M Ops, 0.6684 M, 0.4787 %, 39.32 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403123, 0.401553, 0.431997, 111.04 M Ops, 13.63 M Ops, 5.49 M Ops, 0.6684 M, 0.4491 %, 37.50 uJ
