epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.523164,0.523164,0.523237,0.800024,0.800024,0.623263
1,0.375908,0.375908,0.437838,0.728220,0.728220,0.588215
2,0.354527,0.354527,0.423015,0.710622,0.710622,0.577381
3,0.344779,0.344779,0.416670,0.704980,0.704980,0.578131
4,0.338189,0.338189,0.412514,0.715088,0.715088,0.579186
5,0.334613,0.334613,0.411091,0.730330,0.730330,0.586980
6,0.331371,0.331371,0.408789,0.728521,0.728521,0.580801
7,0.325331,0.325331,0.404635,0.716767,0.716767,0.578297
8,0.323821,0.323821,0.404077,0.725523,0.725523,0.583245
9,0.322530,0.322530,0.403522,0.731755,0.731755,0.580760
