loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453190, 0.452126, 0.466393, 110.43 M Ops, 15.86 M Ops, 5.18 M Ops, 0.6642 M, 0.4100 %, 38.12 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.452897, 0.451832, 0.466305, 110.43 M Ops, 15.86 M Ops, 5.18 M Ops, 0.6642 M, 0.4100 %, 38.12 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453066, 0.452003, 0.466354, 110.43 M Ops, 15.86 M Ops, 5.18 M Ops, 0.6642 M, 0.4104 %, 38.11 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.455450, 0.454411, 0.466984, 111.21 M Ops, 15.88 M Ops, 5.55 M Ops, 0.6642 M, 0.4912 %, 39.81 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453481, 0.452423, 0.466792, 111.21 M Ops, 15.87 M Ops, 5.58 M Ops, 0.6642 M, 0.5022 %, 39.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.454557, 0.453511, 0.466797, 111.21 M Ops, 15.89 M Ops, 5.58 M Ops, 0.6642 M, 0.5002 %, 39.97 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.455326, 0.454289, 0.467023, 111.21 M Ops, 15.89 M Ops, 5.53 M Ops, 0.6642 M, 0.4884 %, 39.76 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.455426, 0.454377, 0.467018, 110.43 M Ops, 15.77 M Ops, 5.93 M Ops, 0.6650 M, 0.4635 %, 41.47 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453455, 0.452409, 0.466427, 110.43 M Ops, 15.80 M Ops, 5.93 M Ops, 0.6650 M, 0.4627 %, 41.50 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453799, 0.452753, 0.466375, 110.43 M Ops, 15.84 M Ops, 5.93 M Ops, 0.6650 M, 0.4623 %, 41.53 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453646, 0.452597, 0.466437, 110.43 M Ops, 15.82 M Ops, 5.93 M Ops, 0.6650 M, 0.4625 %, 41.51 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.454065, 0.453017, 0.466656, 110.43 M Ops, 15.83 M Ops, 5.93 M Ops, 0.6650 M, 0.4592 %, 41.52 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.453959, 0.452911, 0.466419, 110.43 M Ops, 15.83 M Ops, 5.93 M Ops, 0.6650 M, 0.4623 %, 41.52 uJ
