loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.427751,0.457314,0.427706,83.37 M Ops,11.42 M Ops,3.24 M Ops,0.6015 M,0.3932 %,25.17 uJ,0.538568,0.471065,0.586043
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.426964,0.455276,0.426911,83.73 M Ops,11.61 M Ops,3.59 M Ops,0.5974 M,0.4698 %,26.97 uJ,0.536936,0.470139,0.587887
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.427974,0.461769,0.427909,83.73 M Ops,12.01 M Ops,3.59 M Ops,0.5974 M,0.4514 %,27.33 uJ,0.541854,0.470672,0.582011
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.426964,0.455276,0.426911,83.73 M Ops,11.61 M Ops,3.59 M Ops,0.5974 M,0.4698 %,26.97 uJ,0.536936,0.470139,0.587887
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.426796,0.455021,0.426736,83.71 M Ops,12.10 M Ops,3.58 M Ops,0.5973 M,0.4635 %,27.36 uJ,0.537251,0.470097,0.588117
