loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418002, 0.408084, 0.430048, 0.739288, 109.08 M Ops, 9.79 M Ops, 3.67 M Ops, 0.5457 M, 0.2479 %, 25.71 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.452668, 0.450991, 0.460395, 0.711876, 109.19 M Ops, 4.46 M Ops, 3.67 M Ops, 0.5457 M, 0.2507 %, 20.91 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418955, 0.409712, 0.429789, 0.738248, 109.08 M Ops, 15.91 M Ops, 3.67 M Ops, 0.5457 M, 0.2433 %, 31.21 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.423412, 0.413991, 0.433627, 0.735514, 109.08 M Ops, 9.94 M Ops, 3.67 M Ops, 0.5457 M, 0.2489 %, 25.85 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.429157, 0.421899, 0.438131, 0.730462, 109.08 M Ops, 27.78 M Ops, 3.67 M Ops, 0.5457 M, 0.2480 %, 41.90 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.423491, 0.411028, 0.430349, 0.737407, 109.08 M Ops, 8.88 M Ops, 3.67 M Ops, 0.5457 M, 0.2536 %, 24.89 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.420638, 0.411060, 0.430716, 0.737387, 109.19 M Ops, 10.87 M Ops, 3.67 M Ops, 0.5457 M, 0.2520 %, 26.68 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417642, 0.407953, 0.429452, 0.739371, 109.08 M Ops, 15.98 M Ops, 3.67 M Ops, 0.5457 M, 0.2487 %, 31.28 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415680, 0.406346, 0.427480, 0.740398, 109.08 M Ops, 16.62 M Ops, 3.67 M Ops, 0.5457 M, 0.2510 %, 31.86 uJ
