head,data,variant,heterogeneous,retrieval,n,mse,mse_sd,mae,mae_sd
flatten,ETTh1,heterogeneous_no_memory,True,False,3,0.5608925951038275,0.017402708086423947,0.5475407876678912,0.010000812081717696
flatten,ETTh1,heterogeneous_retrieval,True,True,3,0.5740595493558588,0.02500619482209859,0.5533309767853264,0.012047690139918377
flatten,ETTh1,homogeneous_no_memory,False,False,3,0.565094319738891,0.016115093347775618,0.554434423592968,0.00945539647969701
flatten,ETTh1,homogeneous_retrieval,False,True,3,0.5967234709947444,0.017413941428428798,0.5697942264796426,0.004607540611075667
flatten,ETTh2,heterogeneous_no_memory,True,False,3,0.7988818431597515,0.09301238730757326,0.613143931890323,0.038869626902541796
flatten,ETTh2,heterogeneous_retrieval,True,True,3,0.8498301399834044,0.0401508230444276,0.6318041645693863,0.01611221013562075
flatten,ETTh2,homogeneous_no_memory,False,False,3,0.8698657286914854,0.08083653699326465,0.651394851605095,0.03756665791655068
flatten,ETTh2,homogeneous_retrieval,False,True,3,0.8758261856981274,0.07485054353758994,0.652928250485516,0.03640209280701796
last,ETTh1,heterogeneous_no_memory,True,False,1,0.7761046797663308,,0.651287987848086,
last,ETTh1,heterogeneous_retrieval,True,True,1,0.7734373655092311,,0.6511131671646816,
last,ETTh1,homogeneous_no_memory,False,False,1,0.8165548408604717,,0.6697773804021757,
last,ETTh1,homogeneous_retrieval,False,True,1,0.8152571765459385,,0.6692942695466403,
last,ETTh2,heterogeneous_no_memory,True,False,1,1.0718776979692104,,0.7593445339022104,
last,ETTh2,heterogeneous_retrieval,True,True,1,1.0744148692763347,,0.7610786365964015,
last,ETTh2,homogeneous_no_memory,False,False,1,1.124452231814632,,0.7797992170072294,
last,ETTh2,homogeneous_retrieval,False,True,1,1.1234084359565666,,0.7802602783422254,
