head,data,seed,False,True,interaction
flatten,ETTh1,7,0.06559701220835501,0.03812678336354125,-0.02747022884481376
flatten,ETTh1,13,0.00957161425455677,-0.0013830734531317113,-0.010954687707688482
flatten,ETTh1,21,0.019718827304648467,0.002757152845684341,-0.016961674458964127
flatten,ETTh2,7,0.016367973880465847,0.005013776165788464,-0.011354197714677383
flatten,ETTh2,13,0.013574386299739727,0.03561473244460045,0.022040346144860723
flatten,ETTh2,21,-0.012060989160279867,0.11221638186056992,0.12427737102084979
last,ETTh1,7,-0.0012976643145331535,-0.002667314257099651,-0.0013696499425664976
last,ETTh2,7,-0.001043795858065355,0.002537171307124275,0.00358096716518963
