head,data,heterogeneous,seed,delta_mse,delta_mae,relative_mse_pct
flatten,ETTh1,False,7,0.06559701220835501,0.03022594264249978,11.917257490898937
flatten,ETTh1,False,13,0.00957161425455677,0.00725197983945336,1.6436153451480529
flatten,ETTh1,False,21,0.019718827304648467,0.008601486178070772,3.5056030958075413
flatten,ETTh1,True,7,0.03812678336354125,0.018660217253827494,6.822668166854484
flatten,ETTh1,True,13,-0.0013830734531317113,-0.002600862335327081,-0.23877518091546257
flatten,ETTh1,True,21,0.002757152845684341,0.0013112124338050535,0.5062563260085362
flatten,ETTh2,False,7,0.016367973880465847,0.006755295572193454,1.7937189481008309
flatten,ETTh2,False,13,0.013574386299739727,0.0025367302791908797,1.7478439427649262
flatten,ETTh2,False,21,-0.012060989160279867,-0.0046918292101215675,-1.310343210963849
flatten,ETTh2,True,7,0.005013776165788464,0.0005830203718224514,0.582433884284983
flatten,ETTh2,True,13,0.03561473244460045,0.010924078566275752,4.220320954707124
flatten,ETTh2,True,21,0.11221638186056992,0.04447359909909132,16.217953514726858
last,ETTh1,False,7,-0.0012976643145331535,-0.0004831108555354291,-0.15891943193498959
last,ETTh1,True,7,-0.002667314257099651,-0.00017482068340435308,-0.3436797028337324
last,ETTh2,False,7,-0.001043795858065355,0.00046106133499601576,-0.09282705201099084
last,ETTh2,True,7,0.002537171307124275,0.0017341026941911641,0.2367034328572437
