head,heterogeneous,seed,delta_mse,delta_mae,relative_mse_pct
flatten,False,7,0.04098249304441043,0.018490619107346618,6.855488219499884
flatten,False,13,0.011573000277148249,0.00489435505932212,1.6957296439564895
flatten,False,21,0.0038289190721843003,0.001954828483974602,1.097629942421846
flatten,True,7,0.021570279764664857,0.009621618812824972,3.7025510255697336
flatten,True,13,0.01711582949573437,0.004161608115474336,1.9907728868958308
flatten,True,21,0.05748676735312713,0.022892405766448187,8.362104920367697
last,False,7,-0.0011707300862992542,-1.1024760269706668e-05,-0.1258732419729902
last,True,7,-6.507147498768795e-05,0.0007796410053934055,-0.05348813498824434
