head,variant,n,mse,mse_sd,mae,mae_sd
flatten,heterogeneous_no_memory,3,0.6798872191317894,0.0533678707442723,0.5803423597791072,0.02240626967000348
flatten,heterogeneous_retrieval,3,0.7119448446696316,0.031368071927444556,0.5925675706773563,0.014066535433581606
flatten,homogeneous_no_memory,3,0.7174800242151882,0.033274459681472586,0.6029146375990315,0.016035912311947727
flatten,homogeneous_retrieval,3,0.7362748283464359,0.041439791301795925,0.6113612384825793,0.01834886619142976
last,heterogeneous_no_memory,1,0.9239911888677705,,0.7053162608751482,
last,heterogeneous_retrieval,1,0.9239261173927829,,0.7060959018805415,
last,homogeneous_no_memory,1,0.9705035363375518,,0.7247882987047025,
last,homogeneous_retrieval,1,0.9693328062512525,,0.7247772739444329,
