epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.353696,0.353696,0.504264,17.141762,0.188160,0.017802,1.000000,0.000000,0.475093,0.893104,0.008125,4.000000,0.079368,4.000000,0.000348,4.000000,0.009863,4.000000,0.226667,4.000000,1.118775,4.000000,0.056504,4.000000,1.129608,2.640836,1.000000,0.531250,32.000000,0.309489,0.309489,0.474089
1,0.271412,0.271412,0.437065,20.032112,0.205537,0.017335,1.000000,0.000000,0.462121,0.870141,0.005806,4.000000,0.012158,4.000000,0.000353,4.000000,0.008691,4.000000,0.014394,4.000000,0.614715,4.000000,0.060157,4.000000,0.675810,1.194422,0.999999,0.156250,32.000000,0.269237,0.269237,0.432689
2,0.252194,0.252194,0.413459,21.421553,0.211571,0.016947,1.000000,0.000000,0.465563,0.865647,0.008851,4.000000,0.013154,4.000000,0.000255,4.000000,0.006723,4.000000,0.018402,4.000000,0.433988,4.000000,0.058504,4.000000,0.690718,1.546663,0.999999,0.156250,32.000000,0.255446,0.255446,0.416336
3,0.243177,0.243177,0.402726,18.982384,0.200864,0.017185,1.000000,0.000000,0.461984,0.849960,0.006213,4.000000,0.006706,4.000000,0.000888,4.000000,0.006207,4.000000,0.006091,4.000000,1.007469,4.000000,0.059526,4.000000,0.722073,1.490395,0.999999,0.218750,32.000000,0.248237,0.248237,0.407683
4,0.238309,0.238309,0.397649,22.279684,0.192717,0.017938,1.000000,0.000000,0.439230,0.816196,0.007267,4.000000,0.006145,4.000000,0.001346,4.000000,0.006320,4.000000,0.006236,4.000000,0.885292,4.000000,0.057811,4.000000,0.770050,1.681260,0.999999,0.187500,32.000000,0.242911,0.242911,0.401998
5,0.234910,0.234910,0.394383,21.034542,0.186506,0.018813,1.000000,0.000000,0.425010,0.775646,0.005199,4.000000,0.007228,4.000000,0.001290,4.000000,0.005708,4.000000,0.008524,4.000000,0.957357,4.000000,0.056670,4.000000,0.753651,1.698877,0.999999,0.187500,32.000000,0.238759,0.238759,0.398133
6,0.232272,0.232272,0.391297,24.788433,0.184222,0.019765,1.000000,0.000000,0.409495,0.739807,0.005162,4.000000,0.008283,4.000000,0.001861,4.000000,0.005942,4.000000,0.009734,4.000000,0.910234,4.000000,0.053961,4.000000,0.734322,1.358894,0.999999,0.218750,32.000000,0.237021,0.237021,0.395809
7,0.229922,0.229922,0.389361,23.050451,0.179801,0.020765,1.000000,0.000000,0.392087,0.703958,0.003339,4.000000,0.011785,4.000000,0.001725,4.000000,0.004316,4.000000,0.014556,4.000000,0.420541,4.000000,0.053765,4.000000,0.648948,1.494441,0.999999,0.093750,32.000000,0.234834,0.234834,0.393279
8,0.228116,0.228116,0.387036,24.353804,0.178223,0.021803,1.000000,0.000000,0.378876,0.668204,0.004066,4.000000,0.006317,4.000000,0.002369,4.000000,0.004029,4.000000,0.006030,4.000000,0.618697,4.000000,0.052309,4.000000,0.656759,1.190676,0.999999,0.156250,32.000000,0.232104,0.232104,0.390226
9,0.226713,0.226713,0.386171,25.179564,0.173904,0.022955,1.000000,0.000000,0.363398,0.635300,0.005414,4.000000,0.013976,4.000000,0.002292,4.000000,0.006723,4.000000,0.015094,4.000000,0.162865,4.000000,0.051064,4.000000,0.518835,1.114082,0.999999,0.093750,32.000000,0.232146,0.232146,0.391085
10,0.225901,0.225901,0.385294,22.465790,0.172430,0.024060,1.000000,0.000000,0.357418,0.613166,0.003191,4.000000,0.015050,4.000000,0.002262,4.000000,0.003129,4.000000,0.012394,4.000000,0.775451,4.000000,0.052859,4.000000,0.599614,1.336424,0.999999,0.156250,32.000000,0.230577,0.230577,0.389978
11,0.224645,0.224645,0.384160,24.940517,0.166460,0.024965,1.000000,0.000000,0.361043,0.576420,0.013103,4.000000,0.032046,4.000000,0.003872,4.000000,0.019259,4.000000,0.068266,4.000000,0.382034,4.000000,0.041072,4.000000,0.853941,7.349374,1.000000,0.156250,32.000000,0.231019,0.231019,0.389504
