loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.427439, 0.419843, 0.433850, 0.731776, 145.04 M Ops, 16.42 M Ops, 4.98 M Ops, 0.5498 M, 0.4184 %, 37.67 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421240, 0.412529, 0.431439, 0.736448, 140.90 M Ops, 18.31 M Ops, 4.74 M Ops, 0.5498 M, 0.3738 %, 38.29 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.429497, 0.421583, 0.435188, 0.730664, 140.90 M Ops, 16.30 M Ops, 4.74 M Ops, 0.5498 M, 0.3670 %, 36.48 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417538, 0.407820, 0.429501, 0.739457, 140.90 M Ops, 16.44 M Ops, 4.74 M Ops, 0.5477 M, 0.3635 %, 36.60 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.426077, 0.422078, 0.438562, 0.730348, 140.90 M Ops, 10.15 M Ops, 4.74 M Ops, 0.5477 M, 0.3536 %, 30.94 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.421593, 0.415698, 0.434470, 0.734423, 140.90 M Ops, 11.92 M Ops, 4.74 M Ops, 0.5477 M, 0.3574 %, 32.53 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.423755, 0.415294, 0.433366, 0.734682, 140.90 M Ops, 16.36 M Ops, 4.74 M Ops, 0.5477 M, 0.3655 %, 36.53 uJ
