epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.524172,0.524172,0.520968,0.849150,0.849150,0.641483
1,0.400207,0.400207,0.454348,0.781825,0.781825,0.618136
2,0.381143,0.381143,0.442537,0.755296,0.755296,0.607012
3,0.371679,0.371679,0.435935,0.743711,0.743711,0.598651
4,0.362845,0.362845,0.429551,0.731941,0.731941,0.593979
5,0.355861,0.355861,0.424872,0.711570,0.711570,0.584466
6,0.350136,0.350136,0.420932,0.705739,0.705739,0.582341
7,0.345491,0.345491,0.418212,0.712719,0.712719,0.584143
8,0.341899,0.341899,0.415709,0.707644,0.707644,0.580438
9,0.337761,0.337761,0.413158,0.709330,0.709330,0.580432
