loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419104, 0.412087, 0.431972, 0.736731, 57.77 M Ops, 7.27 M Ops, 2.56 M Ops, 0.2709 M, 0.4806 %, 18.33 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419375, 0.412819, 0.432277, 0.736264, 57.72 M Ops, 7.61 M Ops, 2.56 M Ops, 0.2709 M, 0.4998 %, 18.64 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.453898, 0.452211, 0.461220, 0.711097, 56.59 M Ops, 1.87 M Ops, 2.44 M Ops, 0.2709 M, 0.4459 %, 12.93 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.428997, 0.417845, 0.437467, 0.733052, 56.59 M Ops, 1.49 M Ops, 45.10 M Ops, 0.2709 M, 0.4691 %, 208.81 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.429183, 0.423777, 0.439925, 0.729262, 56.59 M Ops, 2.69 M Ops, 2.44 M Ops, 0.2709 M, 0.4792 %, 13.66 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.450185, 0.426657, 0.441866, 0.727423, 56.59 M Ops, 1.54 M Ops, 45.10 M Ops, 0.2709 M, 0.4536 %, 208.86 uJ
