loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.287020, 0.287878, 0.345672, 63.96 M Ops, 7.61 M Ops, 5.58 M Ops, 0.1450 M, 0.5011 %, 32.52 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.286062, 0.287075, 0.345131, 63.96 M Ops, 7.61 M Ops, 5.58 M Ops, 0.1450 M, 0.5018 %, 32.51 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.285979, 0.287010, 0.345087, 63.96 M Ops, 7.61 M Ops, 5.57 M Ops, 0.1450 M, 0.4968 %, 32.49 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291479, 0.292321, 0.349942, 63.96 M Ops, 7.51 M Ops, 5.56 M Ops, 0.1450 M, 0.4905 %, 32.31 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.288417, 0.289606, 0.347248, 63.18 M Ops, 7.47 M Ops, 5.18 M Ops, 0.1450 M, 0.4100 %, 30.57 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.287706, 0.288869, 0.346626, 63.18 M Ops, 7.46 M Ops, 5.18 M Ops, 0.1450 M, 0.4024 %, 30.56 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.287444, 0.288652, 0.346075, 63.18 M Ops, 7.50 M Ops, 5.78 M Ops, 0.1459 M, 0.4266 %, 33.33 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292982, 0.294147, 0.349893, 63.18 M Ops, 7.47 M Ops, 5.93 M Ops, 0.1459 M, 0.4652 %, 34.00 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292760, 0.293922, 0.349722, 63.18 M Ops, 7.47 M Ops, 5.93 M Ops, 0.1459 M, 0.4653 %, 33.99 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.285921, 0.287005, 0.344984, 63.18 M Ops, 7.52 M Ops, 5.78 M Ops, 0.1532 M, 0.4319 %, 33.34 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293122, 0.294313, 0.349376, 63.18 M Ops, 7.43 M Ops, 5.93 M Ops, 0.1532 M, 0.4659 %, 33.96 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.294668, 0.295856, 0.350616, 63.18 M Ops, 7.42 M Ops, 5.93 M Ops, 0.1459 M, 0.4663 %, 33.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293606, 0.294889, 0.349426, 83.55 M Ops, 10.45 M Ops, 6.53 M Ops, 0.1630 M, 0.4359 %, 39.47 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.289792, 0.290970, 0.347289, 43.35 M Ops, 5.02 M Ops, 5.61 M Ops, 0.1292 M, 0.4587 %, 30.33 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290161, 0.291296, 0.347950, 63.18 M Ops, 7.46 M Ops, 5.92 M Ops, 0.1459 M, 0.4573 %, 33.94 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292672, 0.293921, 0.349674, 63.18 M Ops, 7.46 M Ops, 5.93 M Ops, 0.1459 M, 0.4627 %, 33.99 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.294402, 0.295657, 0.350530, 63.18 M Ops, 7.45 M Ops, 5.93 M Ops, 0.1459 M, 0.4638 %, 33.97 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.290659, 0.291890, 0.348677, 63.18 M Ops, 7.42 M Ops, 5.93 M Ops, 0.1459 M, 0.4614 %, 33.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291632, 0.292909, 0.349083, 63.18 M Ops, 7.46 M Ops, 5.18 M Ops, 0.1459 M, 0.4093 %, 30.56 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291700, 0.292968, 0.349070, 63.18 M Ops, 7.46 M Ops, 5.18 M Ops, 0.1459 M, 0.4096 %, 30.56 uJ
