loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402612, 0.394009, 0.423140, 0.748280, 171.58 M Ops, 27.51 M Ops, 6.52 M Ops, 0.4768 M, 0.3909 %, 54.76 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.403380, 0.394582, 0.422932, 0.747914, 171.58 M Ops, 27.44 M Ops, 6.52 M Ops, 0.4768 M, 0.3908 %, 54.69 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402612, 0.394009, 0.423140, 0.748280, 171.58 M Ops, 27.51 M Ops, 6.52 M Ops, 0.4768 M, 0.3909 %, 54.76 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402612, 0.394009, 0.423140, 0.748280, 171.58 M Ops, 27.51 M Ops, 6.52 M Ops, 0.4768 M, 0.3909 %, 54.76 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.403256, 0.395068, 0.423270, 0.747604, 171.58 M Ops, 27.10 M Ops, 6.52 M Ops, 0.4768 M, 0.3900 %, 54.39 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400157, 0.391407, 0.422024, 0.749943, 164.06 M Ops, 25.50 M Ops, 5.75 M Ops, 0.4768 M, 0.2912 %, 49.40 uJ
