loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.459083, 0.458355, 0.471102, 115.07 M Ops, 20.98 M Ops, 9.14 M Ops, 0.6758 M, 0.4176 %, 60.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.459647, 0.458913, 0.473615, 113.82 M Ops, 13.14 M Ops, 5.43 M Ops, 0.6748 M, 0.4096 %, 36.82 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449524, 0.448717, 0.464426, 111.13 M Ops, 14.81 M Ops, 5.21 M Ops, 0.6726 M, 0.3978 %, 37.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449524, 0.448717, 0.464426, 111.13 M Ops, 14.81 M Ops, 5.21 M Ops, 0.6726 M, 0.3978 %, 37.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.461997, 0.461229, 0.473366, 121.35 M Ops, 18.14 M Ops, 5.66 M Ops, 0.6811 M, 0.4137 %, 42.36 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.461375, 0.460648, 0.473632, 113.86 M Ops, 13.31 M Ops, 5.36 M Ops, 0.6748 M, 0.3876 %, 36.63 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449524, 0.448717, 0.464426, 111.13 M Ops, 14.81 M Ops, 5.21 M Ops, 0.6726 M, 0.3978 %, 37.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449567, 0.448787, 0.464741, 116.13 M Ops, 15.86 M Ops, 5.36 M Ops, 0.6767 M, 0.4123 %, 38.92 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449446, 0.448666, 0.464610, 116.28 M Ops, 15.93 M Ops, 5.51 M Ops, 0.6769 M, 0.4128 %, 39.68 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.448238, 0.447447, 0.463906, 150.88 M Ops, 19.67 M Ops, 5.81 M Ops, 0.7061 M, 0.3834 %, 44.44 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449301, 0.448501, 0.463696, 150.88 M Ops, 21.35 M Ops, 5.81 M Ops, 0.7061 M, 0.3859 %, 45.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.449286, 0.448483, 0.463709, 150.88 M Ops, 21.35 M Ops, 5.81 M Ops, 0.7061 M, 0.3859 %, 45.95 uJ
