loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401568, 0.392656, 0.422111, 0.749145, 171.58 M Ops, 27.32 M Ops, 6.52 M Ops, 0.4768 M, 0.3898 %, 54.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.403247, 0.394963, 0.423306, 0.747671, 171.58 M Ops, 27.56 M Ops, 6.52 M Ops, 0.4768 M, 0.3892 %, 54.80 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402795, 0.394064, 0.422673, 0.748245, 171.58 M Ops, 27.54 M Ops, 6.52 M Ops, 0.4768 M, 0.3892 %, 54.78 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402336, 0.394080, 0.422676, 0.748235, 171.58 M Ops, 27.25 M Ops, 6.52 M Ops, 0.4768 M, 0.3887 %, 54.52 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.404441, 0.395722, 0.423766, 0.747186, 171.58 M Ops, 27.61 M Ops, 6.52 M Ops, 0.4768 M, 0.3887 %, 54.84 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.411010, 0.396292, 0.427195, 0.746822, 171.58 M Ops, 9.34 M Ops, 6.52 M Ops, 0.4768 M, 0.3804 %, 38.40 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.406821, 0.393412, 0.421905, 0.748661, 171.58 M Ops, 4.54 M Ops, 148.10 M Ops, 0.4768 M, 0.4219 %, 685.35 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401568, 0.392656, 0.422111, 0.749145, 171.58 M Ops, 27.32 M Ops, 6.52 M Ops, 0.4768 M, 0.3898 %, 54.58 uJ
