loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399462, 0.391003, 0.421154, 0.750200, 195.79 M Ops, 31.26 M Ops, 8.41 M Ops, 0.4798 M, 0.3840 %, 66.83 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401061, 0.392816, 0.422675, 0.749042, 195.95 M Ops, 30.99 M Ops, 8.42 M Ops, 0.4803 M, 0.3862 %, 66.63 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400549, 0.392465, 0.422368, 0.749267, 195.95 M Ops, 30.89 M Ops, 8.42 M Ops, 0.4803 M, 0.3838 %, 66.54 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400937, 0.392800, 0.422561, 0.749052, 195.95 M Ops, 30.95 M Ops, 8.42 M Ops, 0.4803 M, 0.3836 %, 66.59 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401082, 0.392895, 0.422648, 0.748992, 195.95 M Ops, 30.88 M Ops, 8.42 M Ops, 0.4803 M, 0.3825 %, 66.53 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401105, 0.393561, 0.422336, 0.748566, 174.11 M Ops, 26.32 M Ops, 6.16 M Ops, 0.4784 M, 0.4091 %, 52.04 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401381, 0.393459, 0.422527, 0.748631, 177.88 M Ops, 27.67 M Ops, 6.92 M Ops, 0.4787 M, 0.4278 %, 56.71 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401318, 0.393736, 0.423269, 0.748454, 191.91 M Ops, 28.83 M Ops, 8.23 M Ops, 0.4799 M, 0.4125 %, 63.82 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.397516, 0.389994, 0.420638, 0.750845, 188.05 M Ops, 29.69 M Ops, 7.67 M Ops, 0.4796 M, 0.4221 %, 62.00 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.398392, 0.390334, 0.421051, 0.750628, 188.05 M Ops, 29.67 M Ops, 7.67 M Ops, 0.4796 M, 0.4217 %, 61.98 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.398377, 0.390393, 0.421137, 0.750590, 187.89 M Ops, 29.70 M Ops, 7.66 M Ops, 0.4796 M, 0.3931 %, 61.96 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401040, 0.393877, 0.422323, 0.748364, 188.05 M Ops, 26.64 M Ops, 19.72 M Ops, 0.4796 M, 0.4443 %, 114.68 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.398481, 0.390735, 0.420533, 0.750372, 188.05 M Ops, 30.72 M Ops, 7.67 M Ops, 0.4796 M, 0.4223 %, 62.93 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.397654, 0.389944, 0.420542, 0.750877, 188.05 M Ops, 29.97 M Ops, 7.67 M Ops, 0.4796 M, 0.4230 %, 62.25 uJ
