epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.547773,0.547773,0.459830,0.272350,0.272350,0.374343
1,0.402164,0.402164,0.380173,0.256730,0.256730,0.359174
2,0.376243,0.376243,0.368726,0.267061,0.267061,0.370484
3,0.361598,0.361598,0.364407,0.272791,0.272791,0.368419
4,0.348085,0.348085,0.360756,0.265913,0.265913,0.366136
5,0.334662,0.334662,0.357801,0.256719,0.256719,0.357777
6,0.328858,0.328858,0.355539,0.269073,0.269073,0.365559
7,0.323692,0.323692,0.353637,0.261461,0.261461,0.361633
8,0.318423,0.318423,0.352117,0.269871,0.269871,0.364656
9,0.315418,0.315418,0.351332,0.268911,0.268911,0.363073
10,0.312815,0.312815,0.351006,0.267610,0.267610,0.363455
11,0.311065,0.311065,0.350086,0.269498,0.269498,0.363780
