epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.557534,0.557534,0.539742,0.939261,0.939261,0.683339
1,0.428734,0.428734,0.471704,0.903171,0.903171,0.668273
2,0.411449,0.411449,0.461429,0.863097,0.863097,0.651393
3,0.401791,0.401791,0.455652,0.854492,0.854492,0.643640
4,0.391855,0.391855,0.449275,0.830347,0.830347,0.636479
5,0.383654,0.383654,0.444436,0.802573,0.802573,0.623105
6,0.379067,0.379067,0.441723,0.793655,0.793655,0.618470
7,0.375612,0.375612,0.439370,0.790596,0.790596,0.619966
8,0.371784,0.371784,0.436700,0.779700,0.779700,0.616023
9,0.369869,0.369869,0.435497,0.772730,0.772730,0.610920
10,0.367275,0.367275,0.433435,0.778289,0.778289,0.610468
11,0.366158,0.366158,0.432329,0.769134,0.769134,0.609292
12,0.363796,0.363796,0.430728,0.769678,0.769678,0.608223
13,0.363800,0.363800,0.430683,0.757580,0.757580,0.601783
14,0.362921,0.362921,0.430209,0.761419,0.761419,0.604672
15,0.362380,0.362380,0.429868,0.760932,0.760932,0.603945
16,0.360259,0.360259,0.428523,0.764770,0.764770,0.605063
17,0.357940,0.357940,0.427091,0.759277,0.759277,0.602776
18,0.357412,0.357412,0.426838,0.764341,0.764341,0.606158
19,0.357773,0.357773,0.427116,0.762754,0.762754,0.602771
