loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.488605, 0.470451, 0.459660, 0.568860, 52.94 M Ops, 8.31 M Ops, 2.07 M Ops, 0.2709 M, 0.3013 %, 17.02 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.494653, 0.479296, 0.458431, 0.560754, 49.80 M Ops, 9.54 M Ops, 1.84 M Ops, 0.2703 M, 0.2501 %, 17.03 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.483613, 0.468792, 0.455644, 0.570380, 49.80 M Ops, 9.98 M Ops, 1.84 M Ops, 0.2703 M, 0.2537 %, 17.43 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.492016, 0.477699, 0.461184, 0.562217, 49.15 M Ops, 11.58 M Ops, 1.24 M Ops, 0.2703 M, 0.2298 %, 16.15 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.488462, 0.473722, 0.458464, 0.565863, 49.15 M Ops, 9.81 M Ops, 1.24 M Ops, 0.2703 M, 0.2134 %, 14.55 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.475082, 0.460091, 0.451658, 0.578355, 49.80 M Ops, 9.36 M Ops, 1.84 M Ops, 0.2703 M, 0.2601 %, 16.87 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.480382, 0.465250, 0.454071, 0.573626, 49.80 M Ops, 9.43 M Ops, 1.84 M Ops, 0.2693 M, 0.2613 %, 16.93 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.483527, 0.468214, 0.455522, 0.570910, 49.80 M Ops, 9.39 M Ops, 1.84 M Ops, 0.2693 M, 0.2606 %, 16.90 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.484767, 0.469216, 0.456106, 0.569992, 49.80 M Ops, 9.34 M Ops, 1.84 M Ops, 0.2693 M, 0.2598 %, 16.86 uJ
