epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_singleton_frac,val_loss,val_mse,val_mae
0,0.436105,0.436105,0.553827,18.579453,0.181638,0.500000,0.927092,0.063440,0.393478,1.235364,81743826528.000000,65899583168.000000,0.000000,78128401184.000000,50330875040.000000,155468940480.000000,0.043341,0.463363,0.463363,0.572940
1,0.445427,0.445427,0.558771,19.487310,0.185439,0.500000,0.926638,0.063453,0.392399,1.245917,78340883936.000000,74094157056.000000,0.000000,61695500248.000000,64046085904.000000,132764005664.000000,0.044297,0.485446,0.485446,0.586418
2,0.462154,0.462154,0.566742,20.798491,0.204288,0.500000,0.923698,0.064609,0.388258,1.302922,98784381256.000000,83885824312.000000,0.000000,83907291568.000000,67396776748.000000,159785117816.000000,0.045288,0.495753,0.495753,0.592506
3,0.465160,0.465160,0.568509,19.221004,0.210679,0.500000,0.924832,0.064537,0.388629,1.302066,19328170496.000000,31361904768.000000,0.000000,16371881856.000000,28000257152.000000,49450583168.000000,0.044907,0.493775,0.493775,0.590789
4,0.466513,0.466513,0.570256,21.390474,0.209400,0.500000,0.925491,0.064428,0.388269,1.301023,33639151394.000000,104250598784.000000,0.000000,23161733760.000000,79093815280.000000,90584913664.000000,0.044746,0.495547,0.495547,0.593323
5,0.474214,0.474214,0.574982,20.688034,0.211545,0.500000,0.924072,0.064804,0.385669,1.332432,84639933152.000000,134737277632.000000,0.000000,75240890704.000000,99270504460.000000,114741285712.000000,0.045401,0.515542,0.515542,0.605019
6,0.480909,0.480909,0.578686,20.740023,0.219398,0.500000,0.921326,0.064843,0.385462,1.335667,60987150224.000000,79159760832.000000,0.000000,42686797216.000000,59120806176.000000,118292779104.000000,0.045863,0.502043,0.502043,0.596726
7,0.468795,0.468795,0.571821,20.224884,0.223633,0.500000,0.920554,0.064919,0.385094,1.319602,27647647512.000000,42442477744.000000,0.000000,17405319330.000000,30072871720.000000,30775138968.000000,0.046211,0.497987,0.497987,0.595671
8,0.465819,0.465819,0.569770,19.603725,0.225560,0.500000,0.920698,0.065076,0.384878,1.319665,11788271016.000000,26554817072.000000,0.000000,7468207740.000000,24407025464.000000,53497307504.000000,0.046095,0.498360,0.498360,0.594941
9,0.469173,0.469173,0.571507,20.687975,0.229765,0.500000,0.920266,0.065470,0.383710,1.334371,20020709568.000000,26542598912.000000,0.000000,14812629856.000000,22230291040.000000,51518125888.000000,0.047131,0.501240,0.501240,0.596820
10,0.468550,0.468550,0.572272,21.373341,0.226685,0.500000,0.920888,0.064435,0.386808,1.297402,30561779840.000000,111490688000.000000,0.000000,20866467072.000000,99251495552.000000,106081165312.000000,0.046580,0.496728,0.496728,0.595219
