epoch,train_loss,train_score,val_loss,val_score,val_distill
0,0.460075,0.442643,0.304047,tensor(0.0023),0.022517
1,0.297407,0.274704,0.195906,tensor(0.0019),0.024162
2,0.216660,0.193182,0.142121,tensor(0.0011),0.023728
3,0.178569,0.152038,0.117896,tensor(0.0010),0.027564
4,0.157105,0.126345,0.103628,tensor(0.0005),0.029743
5,0.144068,0.110842,0.094333,tensor(0.0004),0.031693
6,0.136739,0.101942,0.089592,tensor(0.0007),0.033690
7,0.131403,0.095742,0.080986,tensor(0.0007),0.030856
8,0.125967,0.089882,0.081110,tensor(0.0006),0.034726
9,0.125593,0.089964,0.078968,tensor(0.0005),0.033682
10,0.126089,0.090201,0.079090,tensor(0.0006),0.034493
11,0.124646,0.088671,0.080109,tensor(0.0007),0.035643
12,0.121743,0.085558,0.079472,tensor(0.0003),0.035711
13,0.124084,0.087909,0.077093,tensor(0.0004),0.033419
14,0.125607,0.089466,0.077001,tensor(0.0004),0.033674
15,0.125034,0.089492,0.075454,tensor(0.0003),0.032203
16,0.122965,0.087720,0.070326,tensor(0.0005),0.027944
17,0.123720,0.088458,0.076582,tensor(0.0004),0.034297
18,0.122984,0.087279,0.077712,tensor(0.0003),0.036149
19,0.122418,0.086699,0.076228,tensor(0.0003),0.034420
