h,mae,mse
1,0.22037649154663086,0.1149890124797821
2,0.26994094252586365,0.17342627048492432
3,0.30321112275123596,0.21965165436267853
4,0.3248850405216217,0.25619471073150635
5,0.3377556800842285,0.27970924973487854
6,0.34440934658050537,0.2930186688899994
7,0.35369834303855896,0.3079250156879425
8,0.35719650983810425,0.31254318356513977
9,0.35876092314720154,0.3150930404663086
10,0.35563525557518005,0.31237953901290894
11,0.3563023507595062,0.31212323904037476
12,0.35661637783050537,0.31245967745780945
13,0.3564787805080414,0.31204941868782043
14,0.3567993640899658,0.31427881121635437
15,0.35915857553482056,0.3150825798511505
16,0.3575479984283447,0.31200921535491943
17,0.3577171266078949,0.31197863817214966
18,0.35571420192718506,0.311556339263916
19,0.3541582226753235,0.3102771043777466
20,0.35362574458122253,0.30718713998794556
21,0.35339799523353577,0.30763906240463257
22,0.3525935709476471,0.3075180649757385
23,0.3522733151912689,0.3070865571498871
24,0.35240286588668823,0.3082145154476166
25,0.3643256425857544,0.32179611921310425
26,0.3711906969547272,0.33451133966445923
27,0.37552136182785034,0.34323152899742126
28,0.3804054856300354,0.35146385431289673
29,0.3822994828224182,0.35825055837631226
30,0.38693973422050476,0.3626478910446167
31,0.3846210539340973,0.36318740248680115
32,0.3847256302833557,0.364288866519928
33,0.38545897603034973,0.3640659749507904
34,0.3853854238986969,0.3660787045955658
35,0.38556969165802,0.36420005559921265
36,0.3874113857746124,0.3629934787750244
37,0.3835064470767975,0.35893845558166504
38,0.3817954659461975,0.3558817505836487
39,0.38324078917503357,0.3579237461090088
40,0.3826291859149933,0.3583380877971649
41,0.38545432686805725,0.35632142424583435
42,0.384299635887146,0.3576062321662903
43,0.3842320144176483,0.359214723110199
44,0.38208523392677307,0.35692816972732544
45,0.380557656288147,0.3564039170742035
46,0.38099050521850586,0.3562955856323242
47,0.38224509358406067,0.3580136299133301
48,0.38257864117622375,0.360721617937088
49,0.3927629888057709,0.3716534972190857
50,0.3952472507953644,0.38249242305755615
51,0.3983970284461975,0.3913087844848633
52,0.40005698800086975,0.39732807874679565
53,0.40217727422714233,0.40162307024002075
54,0.40648072957992554,0.40337711572647095
55,0.40737852454185486,0.4110068082809448
56,0.4082810878753662,0.4120382070541382
57,0.4081839621067047,0.4118942320346832
58,0.4052259027957916,0.40954363346099854
59,0.40622615814208984,0.411467581987381
60,0.4061085283756256,0.41325482726097107
61,0.40661701560020447,0.41040727496147156
62,0.4072711169719696,0.41589975357055664
63,0.40763527154922485,0.4141380488872528
64,0.4086025357246399,0.41519108414649963
65,0.4068118929862976,0.4118574857711792
66,0.40493857860565186,0.41270318627357483
67,0.40528854727745056,0.4137827455997467
68,0.40529072284698486,0.41346821188926697
69,0.40413331985473633,0.4110499620437622
70,0.40420466661453247,0.4085029065608978
71,0.4051934480667114,0.41006749868392944
72,0.40225014090538025,0.40560412406921387
73,0.40582409501075745,0.41193634271621704
74,0.41005611419677734,0.41924482583999634
75,0.41453176736831665,0.42937955260276794
76,0.4159482717514038,0.43438106775283813
77,0.4152783751487732,0.43629518151283264
78,0.418270468711853,0.442106693983078
79,0.41932156682014465,0.44107434153556824
80,0.4209333658218384,0.4477370083332062
81,0.4218067228794098,0.44827017188072205
82,0.42207473516464233,0.44963470101356506
83,0.42450475692749023,0.45145946741104126
84,0.4204369783401489,0.4455132484436035
85,0.4209015667438507,0.4487506151199341
86,0.42049139738082886,0.4486817419528961
87,0.41998425126075745,0.44498419761657715
88,0.41909903287887573,0.4429245591163635
89,0.4171960949897766,0.43786805868148804
90,0.4194268584251404,0.4398239254951477
91,0.4166085124015808,0.4332315921783447
92,0.41696277260780334,0.435561865568161
93,0.4159519374370575,0.43315285444259644
94,0.41598957777023315,0.43263089656829834
95,0.415558785200119,0.4322627782821655
96,0.4141157865524292,0.4323609471321106
97,0.4174692928791046,0.4338066577911377
98,0.4226818084716797,0.4422343671321869
99,0.42322224378585815,0.4481057822704315
100,0.42340898513793945,0.4518907368183136
101,0.4253717064857483,0.45979389548301697
102,0.42785125970840454,0.46406587958335876
103,0.4280729293823242,0.46613454818725586
104,0.4276021420955658,0.4654754400253296
105,0.42849260568618774,0.46677035093307495
106,0.43101730942726135,0.4696633815765381
107,0.43138939142227173,0.46845144033432007
108,0.4289555251598358,0.462730348110199
109,0.42840754985809326,0.4627448618412018
110,0.42949050664901733,0.4649953544139862
111,0.4308934807777405,0.46536511182785034
112,0.42909756302833557,0.4630027413368225
113,0.42621684074401855,0.4558883309364319
114,0.42756468057632446,0.46111005544662476
115,0.4281972348690033,0.46228525042533875
116,0.42504146695137024,0.4558410346508026
117,0.4249475598335266,0.4563288688659668
118,0.42661407589912415,0.45674872398376465
119,0.4266147315502167,0.45484817028045654
120,0.4240148663520813,0.4531140923500061
121,0.42955902218818665,0.45964452624320984
122,0.4343191385269165,0.46407023072242737
123,0.43752190470695496,0.472060889005661
124,0.4370557963848114,0.4753934144973755
125,0.4389968812465668,0.48308733105659485
126,0.44031766057014465,0.48468825221061707
127,0.4378313422203064,0.47626468539237976
128,0.4386906921863556,0.480349063873291
129,0.43789634108543396,0.47679319977760315
130,0.43931645154953003,0.48080509901046753
131,0.43836697936058044,0.4745756983757019
132,0.4372067153453827,0.47324347496032715
133,0.4372439384460449,0.4763745069503784
134,0.43855828046798706,0.47909942269325256
135,0.4420354962348938,0.48465675115585327
136,0.4381718039512634,0.4764873683452606
137,0.4383154511451721,0.4768311083316803
138,0.4386020302772522,0.47747161984443665
139,0.43784934282302856,0.4737063944339752
140,0.4356989860534668,0.46863260865211487
141,0.43604299426078796,0.4680399000644684
142,0.4374925494194031,0.4700237214565277
143,0.4393002688884735,0.47267115116119385
144,0.43822434544563293,0.4738277196884155
145,0.44198349118232727,0.4773300588130951
146,0.44503408670425415,0.479079931974411
147,0.4475647807121277,0.48233315348625183
148,0.44873449206352234,0.48827487230300903
149,0.4511699378490448,0.49381017684936523
150,0.4510791301727295,0.4947250187397003
151,0.45295199751853943,0.4946141839027405
152,0.4537356495857239,0.5004228353500366
153,0.4525124430656433,0.4972730875015259
154,0.45400524139404297,0.5031374096870422
155,0.45473963022232056,0.5005109310150146
156,0.45333704352378845,0.5004934668540955
157,0.45171669125556946,0.49532946944236755
158,0.4523484706878662,0.49552977085113525
159,0.45494967699050903,0.4993290901184082
160,0.4547233283519745,0.49966323375701904
161,0.45241326093673706,0.496259868144989
162,0.452653169631958,0.4968160092830658
163,0.45540809631347656,0.4977063238620758
164,0.4518983066082001,0.4898901581764221
165,0.4519476294517517,0.49141064286231995
166,0.4522280991077423,0.4914524257183075
167,0.45578715205192566,0.4982379972934723
168,0.45211949944496155,0.4953452944755554
169,0.4543372690677643,0.5014815926551819
170,0.46032091975212097,0.509963870048523
171,0.46368709206581116,0.5167762041091919
172,0.4654749035835266,0.5218586325645447
173,0.46603360772132874,0.5259085893630981
174,0.46868619322776794,0.5335808396339417
175,0.4690876603126526,0.5344623327255249
176,0.4645167887210846,0.5236983895301819
177,0.4660939872264862,0.5320582985877991
178,0.4675147831439972,0.5319076180458069
179,0.47203972935676575,0.5398313999176025
180,0.46637019515037537,0.5267043113708496
181,0.46507859230041504,0.5211774706840515
182,0.46673503518104553,0.527701735496521
183,0.4675692021846771,0.522513747215271
184,0.4664900302886963,0.523564875125885
185,0.46287503838539124,0.5135745406150818
186,0.46460026502609253,0.5211785435676575
187,0.46426084637641907,0.5160154104232788
188,0.46099790930747986,0.5076940655708313
189,0.46057677268981934,0.5106951594352722
190,0.4615878462791443,0.5106422901153564
191,0.4627995491027832,0.513032853603363
192,0.46054506301879883,0.5120834708213806
193,0.4628056287765503,0.5182057023048401
194,0.4658648669719696,0.524838924407959
195,0.4684239327907562,0.5278283953666687
196,0.47007420659065247,0.5337986350059509
197,0.4690626263618469,0.5348972678184509
198,0.472521036863327,0.543752133846283
199,0.47433769702911377,0.5467594861984253
200,0.4710773527622223,0.5403636693954468
201,0.4710201621055603,0.5405303835868835
202,0.4730193018913269,0.5460879802703857
203,0.4740453064441681,0.5431841015815735
204,0.4739888906478882,0.5455272793769836
205,0.4711799919605255,0.5385125279426575
206,0.4741503596305847,0.5524012446403503
207,0.47570258378982544,0.5462570190429688
208,0.4730537235736847,0.5451248288154602
209,0.4704726040363312,0.5357134938240051
210,0.4744494557380676,0.546489953994751
211,0.47588202357292175,0.5467001795768738
212,0.47356218099594116,0.5432090163230896
213,0.46933719515800476,0.5348742008209229
214,0.47221508622169495,0.5425720810890198
215,0.4719352126121521,0.536823034286499
216,0.46861186623573303,0.538489580154419
217,0.4703405499458313,0.5382499098777771
218,0.47396162152290344,0.5433040857315063
219,0.47590509057044983,0.5475428104400635
220,0.47369384765625,0.5417625308036804
221,0.47144755721092224,0.5405453443527222
222,0.4729924499988556,0.5438894033432007
223,0.47578859329223633,0.5471647381782532
224,0.4737735390663147,0.5479444265365601
225,0.47445422410964966,0.5484716296195984
226,0.47571703791618347,0.5491660833358765
227,0.4768909513950348,0.5498858690261841
228,0.4749835431575775,0.5523110628128052
229,0.4760548174381256,0.5516696572303772
230,0.4764954745769501,0.5529020428657532
231,0.4785158634185791,0.5552927851676941
232,0.4749304950237274,0.5466703176498413
233,0.47576913237571716,0.5490533113479614
234,0.4764564335346222,0.5513544678688049
235,0.47657954692840576,0.5447536706924438
236,0.47530698776245117,0.5434318780899048
237,0.4720800518989563,0.5404095649719238
238,0.47369152307510376,0.5424906015396118
239,0.4756702482700348,0.5439218878746033
240,0.47204673290252686,0.5397828221321106
241,0.46887949109077454,0.5339141488075256
242,0.4737156629562378,0.5418283939361572
243,0.47619178891181946,0.543163001537323
244,0.47491902112960815,0.5445237755775452
245,0.47626981139183044,0.5454100966453552
246,0.4751913249492645,0.5410774946212769
247,0.47578370571136475,0.5410819053649902
248,0.4724794924259186,0.5343892574310303
249,0.4731563627719879,0.5415448546409607
250,0.4754706919193268,0.5488374829292297
251,0.4757486581802368,0.5450990200042725
252,0.47232288122177124,0.5352551341056824
253,0.4736630618572235,0.5445029735565186
254,0.4734002351760864,0.5433851480484009
255,0.4778570532798767,0.5573132634162903
256,0.47793877124786377,0.554576575756073
257,0.4739859998226166,0.5453938245773315
258,0.4749886393547058,0.5507815480232239
259,0.47670045495033264,0.5466153025627136
260,0.47412002086639404,0.5397070050239563
261,0.47389689087867737,0.5393472909927368
262,0.4772108793258667,0.547136664390564
263,0.4762016832828522,0.5421167016029358
264,0.4717521667480469,0.535373330116272
265,0.47076836228370667,0.5304852724075317
266,0.4762125015258789,0.5400137901306152
267,0.4835955798625946,0.5443272590637207
268,0.47557565569877625,0.5312121510505676
269,0.4783443212509155,0.5383994579315186
270,0.47767627239227295,0.5392764806747437
271,0.4796614348888397,0.5391862988471985
272,0.47280582785606384,0.5276486277580261
273,0.47457951307296753,0.5306057929992676
274,0.4758451282978058,0.5360795855522156
275,0.474016934633255,0.5316854119300842
276,0.47357073426246643,0.5339195132255554
277,0.4768303334712982,0.5362266898155212
278,0.4737432599067688,0.5322490930557251
279,0.47970956563949585,0.544341504573822
280,0.47919967770576477,0.540098249912262
281,0.47651803493499756,0.5417647957801819
282,0.47795429825782776,0.5447235107421875
283,0.47737419605255127,0.5388838648796082
284,0.47550874948501587,0.5350601673126221
285,0.47672271728515625,0.538276731967926
286,0.47939053177833557,0.5424089431762695
287,0.48010480403900146,0.5407046675682068
288,0.4739210307598114,0.5282487273216248
289,0.4689517915248871,0.5225776433944702
290,0.4733031392097473,0.5288175940513611
291,0.4755614399909973,0.5331811308860779
292,0.47436922788619995,0.5326220393180847
293,0.4761591851711273,0.5334420204162598
294,0.4753219187259674,0.5337919592857361
295,0.47443994879722595,0.5297859907150269
296,0.4765075147151947,0.536155104637146
297,0.4763813614845276,0.5328035950660706
298,0.47617578506469727,0.5358591079711914
299,0.4740026891231537,0.5336222648620605
300,0.47114652395248413,0.526402473449707
301,0.47247686982154846,0.5282873511314392
302,0.4709875285625458,0.5265332460403442
303,0.4712276756763458,0.5250384211540222
304,0.4702402651309967,0.5218634605407715
305,0.468973845243454,0.5202218294143677
306,0.47515395283699036,0.5342702865600586
307,0.4725576341152191,0.5248225331306458
308,0.469269335269928,0.5184668898582458
309,0.47330254316329956,0.52767413854599
310,0.47443196177482605,0.5305340886116028
311,0.47146618366241455,0.528372585773468
312,0.469908744096756,0.5233586430549622
313,0.47264933586120605,0.523672342300415
314,0.4777352809906006,0.526611328125
315,0.4761970639228821,0.5184168219566345
316,0.47590357065200806,0.5224112868309021
317,0.47699758410453796,0.5230032205581665
318,0.47453901171684265,0.5248296856880188
319,0.4787707030773163,0.5300883650779724
320,0.47526827454566956,0.5269963145256042
321,0.4776548445224762,0.534455418586731
322,0.4798189699649811,0.5348814129829407
323,0.47912463545799255,0.5318706035614014
324,0.47484952211380005,0.5249181389808655
325,0.478037029504776,0.5347897410392761
326,0.48142585158348083,0.5421455502510071
327,0.48071223497390747,0.5377811193466187
328,0.47641700506210327,0.5257200002670288
329,0.47349128127098083,0.5245028138160706
330,0.4747765064239502,0.5280929803848267
331,0.4774589538574219,0.530924379825592
332,0.4763416349887848,0.5245798826217651
333,0.47694575786590576,0.5258661508560181
334,0.47536227107048035,0.5245654582977295
335,0.4755719006061554,0.5279335975646973
336,0.4756653308868408,0.5278648138046265
