epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.021177,0.021177,0.007541,0.007541,0.000000,0.000000
1,0.006016,0.006016,0.005656,0.005656,0.000000,0.000000
2,0.004841,0.004841,0.005031,0.005031,0.000000,0.000000
3,0.004464,0.004464,0.004959,0.004959,0.000000,0.000000
4,0.004318,0.004318,0.004733,0.004733,0.000000,0.000000
5,0.004213,0.004213,0.004762,0.004762,0.000000,0.000000
6,0.004150,0.004150,0.004732,0.004732,0.000000,0.000000
7,0.004136,0.004136,0.004792,0.004792,0.000000,0.000000
8,0.004095,0.004095,0.004562,0.004562,0.000000,0.000000
9,0.004066,0.004066,0.004714,0.004714,0.000000,0.000000
10,0.004051,0.004051,0.004548,0.004548,0.000000,0.000000
11,0.004051,0.004051,0.004823,0.004823,0.000000,0.000000
12,0.004060,0.004060,0.004960,0.004960,0.000000,0.000000
13,0.004034,0.004034,0.004459,0.004459,0.000000,0.000000
14,0.003986,0.003986,0.004439,0.004439,0.000000,0.000000
15,0.003986,0.003986,0.004503,0.004503,0.000000,0.000000
16,0.003991,0.003991,0.004531,0.004531,0.000000,0.000000
17,0.003964,0.003964,0.004649,0.004649,0.000000,0.000000
