loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.428084, 0.426416, 0.441528, 88.41 M Ops, 8.22 M Ops, 5.95 M Ops, 0.6243 M, 0.3764 %, 34.76 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422400, 0.420738, 0.438048, 84.64 M Ops, 8.18 M Ops, 2.31 M Ops, 0.5754 M, 0.3905 %, 17.97 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.425384, 0.423776, 0.440205, 84.64 M Ops, 8.34 M Ops, 2.31 M Ops, 0.5768 M, 0.3915 %, 18.11 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.420991, 0.419472, 0.437288, 84.64 M Ops, 10.27 M Ops, 2.31 M Ops, 0.5768 M, 0.3915 %, 19.85 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.416514, 0.415022, 0.435721, 84.64 M Ops, 11.05 M Ops, 2.31 M Ops, 0.5768 M, 0.3991 %, 20.55 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.418002, 0.416533, 0.437082, 84.64 M Ops, 11.10 M Ops, 2.31 M Ops, 0.5768 M, 0.4004 %, 20.60 uJ
