epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.376673,0.376673,1.000000,0.412041,0.412041,0.000000,0.000000,0.404653,0.412003
1,0.356514,0.356514,1.000000,0.415262,0.415262,0.000000,0.000000,0.408553,0.415297
2,0.349739,0.349739,1.000000,0.409556,0.409556,0.000000,0.000000,0.400107,0.409399
3,0.345880,0.345880,1.000000,0.405721,0.405721,0.000000,0.000000,0.392877,0.405782
4,0.343668,0.343668,1.000000,0.408709,0.408709,0.000000,0.000000,0.395338,0.408652
5,0.341104,0.341104,1.000000,0.405641,0.405641,0.000000,0.000000,0.392291,0.405749
6,0.339466,0.339466,1.000000,0.407223,0.407223,0.000000,0.000000,0.396467,0.407250
7,0.338425,0.338425,1.000000,0.410686,0.410686,0.000000,0.000000,0.397721,0.410744
8,0.337387,0.337387,1.000000,0.406656,0.406656,0.000000,0.000000,0.392890,0.406604
