loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418230, 0.413701, 0.433049, 0.735700, 166.77 M Ops, 9.18 M Ops, 4.75 M Ops, 0.5599 M, 0.4602 %, 30.13 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417444, 0.409293, 0.430207, 0.738516, 166.77 M Ops, 14.96 M Ops, 4.75 M Ops, 0.5599 M, 0.4602 %, 35.33 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.416592, 0.409256, 0.430266, 0.738539, 172.80 M Ops, 21.74 M Ops, 4.61 M Ops, 0.5616 M, 0.4035 %, 40.76 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417734, 0.411356, 0.430492, 0.737198, 172.80 M Ops, 21.55 M Ops, 4.61 M Ops, 0.5616 M, 0.4060 %, 40.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419778, 0.411400, 0.431262, 0.737169, 166.77 M Ops, 15.80 M Ops, 4.75 M Ops, 0.5599 M, 0.4632 %, 36.09 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419951, 0.411570, 0.431414, 0.737061, 166.77 M Ops, 15.37 M Ops, 4.75 M Ops, 0.5599 M, 0.4590 %, 35.70 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.422801, 0.413937, 0.433548, 0.735549, 166.77 M Ops, 14.00 M Ops, 4.75 M Ops, 0.5599 M, 0.4583 %, 34.46 uJ
