data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,-0.012301998925712931,-0.009840630508560544
ETTh1,False,7,sparse-off,0.0334330763798355,0.01610383007648275
ETTh1,False,7,sparse-dense,0.045735075305548434,0.025944460585043294
ETTh1,False,13,dense-off,0.007764862632596015,0.007034632715863576
ETTh1,False,13,sparse-off,-0.0064303873814198775,-0.0023148008547302368
ETTh1,False,13,sparse-dense,-0.014195250014015892,-0.009349433570593813
ETTh1,False,21,dense-off,-0.017477840733126193,-0.009377483382448704
ETTh1,False,21,sparse-off,0.015023998112616344,0.007544391354363911
ETTh1,False,21,sparse-dense,0.03250183884574254,0.016921874736812614
ETTh1,True,7,dense-off,0.00374693084104305,0.003910636255073707
ETTh1,True,7,sparse-off,0.0393202440462882,0.025716512821310933
ETTh1,True,7,sparse-dense,0.03557331320524515,0.021805876566237226
ETTh1,True,13,dense-off,0.0106609299346766,0.0079219596791269
ETTh1,True,13,sparse-off,0.01401982273946678,0.007957099120963651
ETTh1,True,13,sparse-dense,0.003358892804790181,3.513944183675122e-05
ETTh1,True,21,dense-off,0.005952677866636447,0.0108815379921261
ETTh1,True,21,sparse-off,0.007966765163871181,0.011952513566457879
ETTh1,True,21,sparse-dense,0.0020140872972347346,0.0010709755743317784
ETTh2,False,7,dense-off,0.022062759188238523,0.008137740272138094
ETTh2,False,7,sparse-off,-0.22178220199480148,-0.06512023364504482
ETTh2,False,7,sparse-dense,-0.24384496118304,-0.07325797391718292
ETTh2,False,13,dense-off,-0.06157104085473086,-0.02653861317484274
ETTh2,False,13,sparse-off,0.013216373181023089,0.004824733840858686
ETTh2,False,13,sparse-dense,0.07478741403575395,0.031363347015701426
ETTh2,False,21,dense-off,0.05696882439273754,0.031680003040682414
ETTh2,False,21,sparse-off,0.06266675564873903,0.0344296799594741
ETTh2,False,21,sparse-dense,0.005697931256001487,0.002749676918791688
ETTh2,True,7,dense-off,0.062362898370297515,0.026057644807227276
ETTh2,True,7,sparse-off,0.19817315331208585,0.062005674336753636
ETTh2,True,7,sparse-dense,0.13581025494178833,0.03594802952952636
ETTh2,True,13,dense-off,0.08644030088756804,0.04069176177124134
ETTh2,True,13,sparse-off,0.03722962264309815,0.026565810296127257
ETTh2,True,13,sparse-dense,-0.049210678244469896,-0.014125951475114085
ETTh2,True,21,dense-off,0.015521291721981134,0.0018654977681045182
ETTh2,True,21,sparse-off,-0.02827837869540195,-0.013166535392879597
ETTh2,True,21,sparse-dense,-0.043799670417383085,-0.015032033160984115
