heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,0.004880380131262796,-0.0008514451182112248
False,7,sparse-dense,-0.09905494293874578,-0.02365675666606981
False,7,sparse-off,-0.09417456280748299,-0.024508201784281036
False,13,dense-off,-0.026903089111067424,-0.009751990229489582
False,13,sparse-dense,0.03029608201086903,0.011006956722553807
False,13,sparse-off,0.0033929928998016057,0.0012549664930642246
False,21,dense-off,0.019745491829805673,0.011151259829116855
False,21,sparse-dense,0.019099885050872012,0.009835775827802151
False,21,sparse-off,0.038845376880677684,0.020987035656919006
True,7,dense-off,0.03305491460567028,0.014984140531150492
True,7,sparse-dense,0.08569178407351674,0.028876953047881793
True,7,sparse-off,0.11874669867918702,0.043861093579032284
True,13,dense-off,0.04855061541112232,0.02430686072518412
True,13,sparse-dense,-0.022925892719839858,-0.007045406016638667
True,13,sparse-off,0.025624722691282464,0.017261454708545454
True,21,dense-off,0.01073698479430879,0.006373517880115309
True,21,sparse-dense,-0.020892791560074175,-0.006980528793326168
True,21,sparse-off,-0.010155806765765385,-0.0006070109132108592
