run_id,architecture,horizon,data,seed,heterogeneous,variant,policy,mse,mae,best_epoch,epochs,best_val_mse,parameters,seconds,log_path,support_density,empty_read_fraction,mean_real_mass,mean_gate_after_first_patch,mean_lag_in_patches,evidence_to_charge_abs_ratio,off_minus_full_mse,uniform_minus_full_mse,recent_minus_full_mse
tcn_ETTh1_p720_flatten_homogeneous_sparse_seed7,tcn,720,ETTh1,7,False,homogeneous_sparse,sparse,0.6329265206302611,0.5843255248453082,4,11,1.2223928152257466,997588,4396.910893201828,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh1/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_homogeneous_sparse,0.357133150100708,0.00782611034810543,0.9742212891578674,0.5212210416793823,8.697225371102991,0.024559261277318,-0.0505540745901607,-0.02124900557680265,-0.005605004542959202
tcn_ETTh1_p720_flatten_homogeneous_sparse_seed13,tcn,720,ETTh1,13,False,homogeneous_sparse,sparse,0.582378608389894,0.562500602559209,2,9,1.204411504025159,997588,3683.6270468235016,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh1/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_homogeneous_sparse,0.3362395167350769,0.07126524299383163,0.8576173186302185,0.47131070494651794,8.239068623643428,0.022003676742315292,-0.00893854457788823,-0.006681610463334708,-0.0016035136227217084
tcn_ETTh1_p720_flatten_homogeneous_sparse_seed21,tcn,720,ETTh1,21,False,homogeneous_sparse,sparse,0.5824043030937894,0.561234795615342,6,13,1.1913856354099404,997588,5134.807034730911,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh1/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_homogeneous_sparse,0.2357950359582901,0.16736988723278046,0.7144143581390381,0.37945979833602905,8.35413493348784,0.016103830188512802,-0.019911855307298998,-0.01019954769487641,-0.005413105160019915
tcn_ETTh2_p720_flatten_heterogeneous_dense_seed7,tcn,720,ETTh2,7,True,heterogeneous_dense,dense,1.1377235869093463,0.7392771584152804,0,7,0.6889104263012921,997588,2940.3223135471344,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_heterogeneous_dense,0.9901925921440125,0.0,0.836592435836792,0.4245222508907318,8.317961881301017,0.010684587061405182,-0.020151312867928928,0.007405106867531375,0.005549813512301549
tcn_ETTh2_p720_flatten_heterogeneous_dense_seed13,tcn,720,ETTh2,13,True,heterogeneous_dense,dense,1.0383331298166634,0.7086844540492753,0,7,0.6802222780277885,997588,2963.28649187088,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_heterogeneous_dense,0.9846835136413574,0.0,0.8263046145439148,0.41612932085990906,8.165000674023759,0.009125106036663055,-0.025504651253392296,0.0025984827258134224,0.01132033418095535
tcn_ETTh2_p720_flatten_heterogeneous_dense_seed21,tcn,720,ETTh2,21,True,heterogeneous_dense,dense,1.1717601888347444,0.7623084946456421,0,7,0.6891000584960164,997588,721.2687389850616,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_heterogeneous_dense,0.9906047582626343,0.0,0.8884792327880859,0.445495069026947,8.76130972566898,0.016297297552227974,-0.037835876952035274,0.002056856488358072,0.001060011741687683
tcn_ETTh2_p720_flatten_heterogeneous_no_memory_seed7,tcn,720,ETTh2,7,True,heterogeneous_no_memory,off,1.0753606885390488,0.7132195136080531,1,8,0.6736305988204837,997588,2957.5248959064484,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_heterogeneous_no_memory,0.0,1.0,0.0,0.0,0.0,0.0,,,
tcn_ETTh2_p720_flatten_heterogeneous_no_memory_seed13,tcn,720,ETTh2,13,True,heterogeneous_no_memory,off,0.9518928289290953,0.6679926922780339,1,8,0.6743423066791716,997588,3011.639322757721,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed13_flatten_heterogeneous_no_memory,0.0,1.0,0.0,0.0,0.0,0.0,,,
tcn_ETTh2_p720_flatten_heterogeneous_no_memory_seed21,tcn,720,ETTh2,21,True,heterogeneous_no_memory,off,1.1562388971127633,0.7604429968775376,0,7,0.6905239532025602,997588,1700.730073928833,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed21_flatten_heterogeneous_no_memory,0.0,1.0,0.0,0.0,0.0,0.0,,,
tcn_ETTh2_p720_flatten_heterogeneous_sparse_seed7,tcn,720,ETTh2,7,True,heterogeneous_sparse,sparse,1.2735338418511346,0.7752251879448068,1,8,0.6831723353404421,997588,3373.680043697357,/home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v2/forecasting/log/selective-v2-20260914_tcn_p720/ETTh2/260915/260915+model+myModel+architecture+tcn+seq_len+336+pred_len+720+patch_size+8+embed_dim+32+num_population+4+head_dim+32+lr+0.001/seed7_flatten_heterogeneous_sparse,0.3256504535675049,0.11394817382097244,0.820985734462738,0.4225435256958008,5.643675777660388,0.009404923766851425,-0.03278821325994841,0.01838703855834578,0.01456203533478817
