data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.5648490767873987,0.008611295806292399,0.5477647514213401,0.008939607651843276
ETTh1,heterogeneous_no_memory,0.55806223057328,0.005598206619533353,0.5401933734458978,0.006187421281010403
ETTh1,heterogeneous_sparse,0.5784978412231553,0.011229244321630031,0.5554020819488087,0.003389554293738445
ETTh1,homogeneous_dense,0.5778892559922232,0.02468709790348168,0.5581813404228657,0.013769644014966309
ETTh1,homogeneous_no_memory,0.5852275816676374,0.016353388751818732,0.5622425008145809,0.00759963629361319
ETTh1,homogeneous_sparse,0.5992364773713148,0.02917643614540174,0.5693536410066197,0.012981469333791558
ETTh2,heterogeneous_dense,1.1159389685202514,0.06932980757453815,0.7367567023700659,0.026900724088341797
ETTh2,heterogeneous_no_memory,1.0611641381936359,0.10291008418426963,0.7138850675878748,0.046228745675286224
ETTh2,heterogeneous_sparse,1.1302056039468964,0.14221898620393916,0.7390200506678752,0.04096223592351002
ETTh2,homogeneous_dense,1.1061614243328008,0.17918760601292733,0.7278544716133681,0.0515517169353125
ETTh2,homogeneous_no_memory,1.1003412434240525,0.15396405126330043,0.7234280949007088,0.04273975903136963
ETTh2,homogeneous_sparse,1.0517082190357059,0.028061854023716262,0.7148061549524716,0.011641171356444059
